condition,predictor,n_boot,mean,ci_low,ci_high,expected_sign_rate
base,frequency,500,-0.06468157245050275,-0.09296010808950304,-0.03324720685017989,1.0
base,reference_learnability,500,0.5238035590400182,0.4604506509668512,0.586925939899853,1.0
base,formal_utility,500,-0.15782901221049833,-0.18361293605763737,-0.12491156164322273,1.0
batch_large,frequency,500,-0.07895773083345908,-0.0927516333904533,-0.056400500307351664,1.0
batch_large,reference_learnability,500,0.659249250065845,0.6499728848945131,0.6714023814996846,1.0
batch_large,formal_utility,500,-0.0892923195879689,-0.11091304321092955,-0.06692153643092714,1.0
batch_small,frequency,500,-0.05984753923611039,-0.08135673757109788,-0.039540509853181784,1.0
batch_small,reference_learnability,500,0.45146158817135823,0.4111587924708551,0.5027083756755109,1.0
batch_small,formal_utility,500,-0.19483714949298314,-0.21990264864909007,-0.16705836513960345,1.0
lr_high,frequency,500,-0.04034615183536066,-0.059397514684439906,-0.023247436926550187,1.0
lr_high,reference_learnability,500,0.41964423366798,0.3669053438428322,0.4799663180499905,1.0
lr_high,formal_utility,500,-0.23683130154873067,-0.26710787014870024,-0.20739895281063148,1.0
lr_low,frequency,500,-0.07089834300439961,-0.08471547309507592,-0.05085208775069781,1.0
lr_low,reference_learnability,500,0.6617891576976542,0.6516781249499396,0.6761104889819934,1.0
lr_low,formal_utility,500,-0.09235195813485358,-0.11617052026832744,-0.07084289068816466,1.0
wd_zero,frequency,500,-0.08016530439542668,-0.09649274229830994,-0.06496665111686943,1.0
wd_zero,reference_learnability,500,0.524558211466933,0.45822118757773195,0.6101174853441035,1.0
wd_zero,formal_utility,500,-0.15340580197915593,-0.18286093677550314,-0.11784668874855793,1.0
