condition,seed,task_name,realized_sample_count
base,3,A00_copy,2700
base,3,A01_reverse,3053
base,3,A02_substitute,4719
base,3,A03_copy,70271
base,3,A04_reverse,3353
base,3,A05_substitute,2369
base,3,A06_copy,33622
base,3,A07_reverse,3644
base,3,C00_reverse_then_substitute_06_04,12972
base,3,C01_substitute_then_reverse_03_04,6933
base,3,C02_copy_then_substitute_00_07,2496
base,3,C03_reverse_then_substitute_06_01,16461
base,3,C04_substitute_then_reverse_07_01,2498
base,3,C05_copy_then_substitute_06_07,2940
base,3,C06_reverse_then_substitute_02_00,10603
base,3,C07_substitute_then_reverse_04_03,22162
base,3,K00_shortcut_for_A00_copy,4091
base,3,K01_shortcut_for_A07_reverse,4436
base,3,K02_shortcut_for_A04_reverse,9090
base,3,S00_surface_rotate,5098
base,3,S01_surface_rotate,7709
base,3,S02_surface_rotate,3805
base,3,U00_unrelated_substitute,5659
base,3,U01_unrelated_substitute,6319
base,3,U02_unrelated_substitute,3109
