condition,seed,task_name,realized_sample_count
batch_large,0,A00_copy,2792
batch_large,0,A01_reverse,3003
batch_large,0,A02_substitute,4674
batch_large,0,A03_copy,70172
batch_large,0,A04_reverse,3458
batch_large,0,A05_substitute,2388
batch_large,0,A06_copy,33706
batch_large,0,A07_reverse,3588
batch_large,0,C00_reverse_then_substitute_06_04,12851
batch_large,0,C01_substitute_then_reverse_03_04,7108
batch_large,0,C02_copy_then_substitute_00_07,2555
batch_large,0,C03_reverse_then_substitute_06_01,16427
batch_large,0,C04_substitute_then_reverse_07_01,2446
batch_large,0,C05_copy_then_substitute_06_07,2844
batch_large,0,C06_reverse_then_substitute_02_00,10747
batch_large,0,C07_substitute_then_reverse_04_03,22370
batch_large,0,K00_shortcut_for_A00_copy,4079
batch_large,0,K01_shortcut_for_A07_reverse,4272
batch_large,0,K02_shortcut_for_A04_reverse,9048
batch_large,0,S00_surface_rotate,5117
batch_large,0,S01_surface_rotate,8030
batch_large,0,S02_surface_rotate,3741
batch_large,0,U00_unrelated_substitute,5509
batch_large,0,U01_unrelated_substitute,6200
batch_large,0,U02_unrelated_substitute,3243
