condition,seed,task_name,realized_sample_count
batch_small,5,A00_copy,2765
batch_small,5,A01_reverse,3059
batch_small,5,A02_substitute,4697
batch_small,5,A03_copy,69844
batch_small,5,A04_reverse,3403
batch_small,5,A05_substitute,2463
batch_small,5,A06_copy,34087
batch_small,5,A07_reverse,3581
batch_small,5,C00_reverse_then_substitute_06_04,12790
batch_small,5,C01_substitute_then_reverse_03_04,6972
batch_small,5,C02_copy_then_substitute_00_07,2594
batch_small,5,C03_reverse_then_substitute_06_01,16289
batch_small,5,C04_substitute_then_reverse_07_01,2483
batch_small,5,C05_copy_then_substitute_06_07,2912
batch_small,5,C06_reverse_then_substitute_02_00,10672
batch_small,5,C07_substitute_then_reverse_04_03,21941
batch_small,5,K00_shortcut_for_A00_copy,4193
batch_small,5,K01_shortcut_for_A07_reverse,4412
batch_small,5,K02_shortcut_for_A04_reverse,9161
batch_small,5,S00_surface_rotate,5219
batch_small,5,S01_surface_rotate,7838
batch_small,5,S02_surface_rotate,3840
batch_small,5,U00_unrelated_substitute,5512
batch_small,5,U01_unrelated_substitute,6148
batch_small,5,U02_unrelated_substitute,3237
