condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
lr_high,4,A00_copy,atomic,11008.0,0.7,2,token_accuracy,0.9469401240348816,0.6875,0.6875,token_accuracy,0.7
lr_high,4,A01_reverse,atomic,43776.0,0.7,2,token_accuracy,0.8587239980697632,0.25390625,0.25390625,token_accuracy,0.7
lr_high,4,A02_substitute,atomic,176384.0,0.7,2,token_accuracy,0.7672526240348816,0.017578125,0.017578125,token_accuracy,0.7
lr_high,4,A03_copy,atomic,11008.0,0.7,2,token_accuracy,0.9501953125,0.7109375,0.7109375,token_accuracy,0.7
lr_high,4,A04_reverse,atomic,43776.0,0.7,2,token_accuracy,0.8531901240348816,0.2109375,0.2109375,token_accuracy,0.7
lr_high,4,A05_substitute,atomic,176384.0,0.7,2,token_accuracy,0.771484375,0.013671875,0.013671875,token_accuracy,0.7
lr_high,4,A06_copy,atomic,11008.0,0.7,2,token_accuracy,0.9537760615348816,0.734375,0.734375,token_accuracy,0.7
lr_high,4,A07_reverse,atomic,43776.0,0.7,2,token_accuracy,0.8528646230697632,0.21484375,0.21484375,token_accuracy,0.7
lr_high,4,C00_reverse_then_substitute_06_04,composite,43776.0,0.7,2,token_accuracy,0.8486328125,0.1953125,0.1953125,token_accuracy,0.7
lr_high,4,C01_substitute_then_reverse_03_04,composite,43776.0,0.7,2,token_accuracy,0.8551432490348816,0.228515625,0.228515625,token_accuracy,0.7
lr_high,4,C02_copy_then_substitute_00_07,composite,43776.0,0.7,2,token_accuracy,0.8528646230697632,0.2109375,0.2109375,token_accuracy,0.7
lr_high,4,C03_reverse_then_substitute_06_01,composite,43776.0,0.7,2,token_accuracy,0.8518880605697632,0.23046875,0.23046875,token_accuracy,0.7
lr_high,4,C04_substitute_then_reverse_07_01,composite,11008.0,0.7,2,token_accuracy,0.94140625,0.658203125,0.658203125,token_accuracy,0.7
lr_high,4,C05_copy_then_substitute_06_07,composite,43776.0,0.7,2,token_accuracy,0.8486328125,0.19921875,0.19921875,token_accuracy,0.7
lr_high,4,C06_reverse_then_substitute_02_00,composite,176384.0,0.7,2,token_accuracy,0.7708333730697632,0.01171875,0.01171875,token_accuracy,0.7
lr_high,4,C07_substitute_then_reverse_04_03,composite,43776.0,0.7,2,token_accuracy,0.8538411855697632,0.224609375,0.224609375,token_accuracy,0.7
lr_high,4,K00_shortcut_for_A00_copy,shortcut,11008.0,0.7,2,token_accuracy,0.947265625,0.701171875,0.701171875,token_accuracy,0.7
lr_high,4,K01_shortcut_for_A07_reverse,shortcut,11008.0,0.7,2,token_accuracy,0.9449869990348816,0.6796875,0.6796875,token_accuracy,0.7
lr_high,4,K02_shortcut_for_A04_reverse,shortcut,11008.0,0.7,2,token_accuracy,0.9488932490348816,0.703125,0.703125,token_accuracy,0.7
lr_high,4,S00_surface_rotate,surface_control,,0.7,2,token_accuracy,0.46875,0.0,0.0,token_accuracy,0.7
lr_high,4,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.7037760615348816,0.009765625,0.009765625,token_accuracy,0.7
lr_high,4,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.4176432490348816,0.0,0.0,token_accuracy,0.7
lr_high,4,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.2356770932674408,0.0,0.0,token_accuracy,0.7
lr_high,4,U01_unrelated_substitute,unrelated,189184.0,0.7,2,token_accuracy,0.7669271230697632,0.009765625,0.009765625,token_accuracy,0.7
lr_high,4,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.2333984375,0.0,0.0,token_accuracy,0.7
