condition,seed,task_name,realized_sample_count
lr_high,9,A00_copy,2777
lr_high,9,A01_reverse,3047
lr_high,9,A02_substitute,4606
lr_high,9,A03_copy,69990
lr_high,9,A04_reverse,3323
lr_high,9,A05_substitute,2334
lr_high,9,A06_copy,33860
lr_high,9,A07_reverse,3543
lr_high,9,C00_reverse_then_substitute_06_04,12809
lr_high,9,C01_substitute_then_reverse_03_04,6982
lr_high,9,C02_copy_then_substitute_00_07,2618
lr_high,9,C03_reverse_then_substitute_06_01,16365
lr_high,9,C04_substitute_then_reverse_07_01,2426
lr_high,9,C05_copy_then_substitute_06_07,2724
lr_high,9,C06_reverse_then_substitute_02_00,10810
lr_high,9,C07_substitute_then_reverse_04_03,22101
lr_high,9,K00_shortcut_for_A00_copy,4074
lr_high,9,K01_shortcut_for_A07_reverse,4397
lr_high,9,K02_shortcut_for_A04_reverse,9138
lr_high,9,S00_surface_rotate,5160
lr_high,9,S01_surface_rotate,8020
lr_high,9,S02_surface_rotate,3839
lr_high,9,U00_unrelated_substitute,5595
lr_high,9,U01_unrelated_substitute,6336
lr_high,9,U02_unrelated_substitute,3238
