row_id,composite,left_condition,right_condition,expected_direction,contrast_type,n_paired_seeds,n_strict_paired_acquired,left_acquisition_rate,right_acquisition_rate,strict_delta_acquired_at_mean,strict_expected_direction_rate,censored_delta_acquired_at_mean,censored_expected_direction_rate,final_metric_delta_mean,final_metric_expected_direction_rate,left_final_metric_mean,right_final_metric_mean,component,unrelated_control,fake_component_control,surface_control,same_operation_control,different_operation_control
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,C06_reverse_then_substitute_02_00,upweight_component,upweight_same_operation_unrelated,earlier,exact_vs_same_operation,10,3,0.9,0.3,-40192.0,1.0,-53248.0,0.9,0.0863281190395355,0.9,0.7554687678813934,0.6691406488418579,A02_substitute,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,C06_reverse_then_substitute_02_00,upweight_component,upweight_different_operation_matched,earlier,exact_vs_different_operation,10,6,0.9,0.6,-27306.666666666668,1.0,-35558.4,0.9,0.0391276061534881,1.0,0.7554687678813934,0.7163411617279053,A02_substitute,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,C06_reverse_then_substitute_02_00,upweight_component,upweight_fake_component,earlier,exact_vs_fake_component,10,5,0.9,0.5,-27596.8,1.0,-40345.6,0.9,0.0306966066360473,1.0,0.7554687678813934,0.724772161245346,A02_substitute,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,C06_reverse_then_substitute_02_00,upweight_component,upweight_surface_control,earlier,exact_vs_surface,10,7,0.9,0.7,-27977.14285714286,0.8571428571428571,-31385.6,0.8,0.0181640625,0.9,0.7554687678813934,0.7373047053813935,A02_substitute,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,C06_reverse_then_substitute_02_00,upweight_same_operation_unrelated,upweight_different_operation_matched,earlier,operation_family_vs_different_operation,10,3,0.3,0.6,13056.0,0.0,17689.6,0.0,-0.0472005128860473,0.1,0.6691406488418579,0.7163411617279053,A02_substitute,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,C06_reverse_then_substitute_02_00,corrupt_component,corrupt_same_operation_unrelated,later,exact_corrupt_vs_same_operation,10,4,0.4,0.7,32448.0,1.0,21068.8,0.7,-0.0276041746139526,1.0,0.7081054806709289,0.7357096552848816,A02_substitute,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,C06_reverse_then_substitute_02_00,corrupt_component,corrupt_different_operation_matched,later,exact_corrupt_vs_different_operation,10,3,0.4,0.6,12800.0,0.6666666666666666,10342.4,0.5,-0.0128580868244171,0.6,0.7081054806709289,0.7209635674953461,A02_substitute,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,C06_reverse_then_substitute_02_00,delay_component,delay_same_operation_unrelated,later,exact_delay_vs_same_operation,10,5,0.5,0.6,6041.6,0.2,9113.6,0.2,-0.0112955570220947,0.6,0.7141276240348816,0.7254231810569763,A02_substitute,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,C06_reverse_then_substitute_02_00,delay_component,delay_different_operation_matched,later,exact_delay_vs_different_operation,10,5,0.5,0.5,0.0,0.0,0.0,0.0,-0.0102864503860473,0.7,0.7141276240348816,0.724414074420929,A02_substitute,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row1_A00_copy_to_C06_reverse_then_substitute_02_00,C06_reverse_then_substitute_02_00,upweight_component,upweight_same_operation_unrelated,earlier,exact_vs_same_operation,10,4,0.5,0.4,-12352.0,0.5,-6630.4,0.3,0.0016927003860473,0.7,0.7152994930744171,0.7136067926883698,A00_copy,A06_copy,K00_shortcut_for_A00_copy,S02_surface_rotate,A06_copy,U02_unrelated_substitute
row1_A00_copy_to_C06_reverse_then_substitute_02_00,C06_reverse_then_substitute_02_00,upweight_component,upweight_different_operation_matched,earlier,exact_vs_different_operation,10,4,0.5,0.4,-22848.0,1.0,-10828.8,0.5,0.0197916507720947,0.7,0.7152994930744171,0.6955078423023224,A00_copy,A06_copy,K00_shortcut_for_A00_copy,S02_surface_rotate,A06_copy,U02_unrelated_substitute
row1_A00_copy_to_C06_reverse_then_substitute_02_00,C06_reverse_then_substitute_02_00,upweight_component,upweight_fake_component,earlier,exact_vs_fake_component,10,5,0.5,0.6,-5478.4,0.4,-1049.6,0.2,-0.0083007872104644,0.5,0.7152994930744171,0.7236002802848815,A00_copy,A06_copy,K00_shortcut_for_A00_copy,S02_surface_rotate,A06_copy,U02_unrelated_substitute
row1_A00_copy_to_C06_reverse_then_substitute_02_00,C06_reverse_then_substitute_02_00,upweight_component,upweight_surface_control,earlier,exact_vs_surface,10,5,0.5,0.6,-13158.4,0.6,-1868.8,0.3,0.0056640625,0.8,0.7152994930744171,0.7096354305744171,A00_copy,A06_copy,K00_shortcut_for_A00_copy,S02_surface_rotate,A06_copy,U02_unrelated_substitute
row1_A00_copy_to_C06_reverse_then_substitute_02_00,C06_reverse_then_substitute_02_00,upweight_same_operation_unrelated,upweight_different_operation_matched,earlier,operation_family_vs_different_operation,10,4,0.4,0.4,-10496.0,0.5,-4198.4,0.2,0.0180989503860473,0.7,0.7136067926883698,0.6955078423023224,A00_copy,A06_copy,K00_shortcut_for_A00_copy,S02_surface_rotate,A06_copy,U02_unrelated_substitute
row1_A00_copy_to_C06_reverse_then_substitute_02_00,C06_reverse_then_substitute_02_00,corrupt_component,corrupt_same_operation_unrelated,later,exact_corrupt_vs_same_operation,10,7,0.7,0.9,25600.0,0.7142857142857143,22860.8,0.7,-0.0209309935569763,0.7,0.7196940302848815,0.7406250238418579,A00_copy,A06_copy,K00_shortcut_for_A00_copy,S02_surface_rotate,A06_copy,U02_unrelated_substitute
row1_A00_copy_to_C06_reverse_then_substitute_02_00,C06_reverse_then_substitute_02_00,corrupt_component,corrupt_different_operation_matched,later,exact_corrupt_vs_different_operation,10,6,0.7,0.7,9728.0,0.5,7398.4,0.4,-0.0136393249034881,0.6,0.7196940302848815,0.7333333551883697,A00_copy,A06_copy,K00_shortcut_for_A00_copy,S02_surface_rotate,A06_copy,U02_unrelated_substitute
row1_A00_copy_to_C06_reverse_then_substitute_02_00,C06_reverse_then_substitute_02_00,delay_component,delay_same_operation_unrelated,later,exact_delay_vs_same_operation,10,4,0.6,0.5,7296.0,0.75,-332.8,0.4,-0.0072591125965118,0.6,0.7133789241313935,0.7206380367279053,A00_copy,A06_copy,K00_shortcut_for_A00_copy,S02_surface_rotate,A06_copy,U02_unrelated_substitute
row1_A00_copy_to_C06_reverse_then_substitute_02_00,C06_reverse_then_substitute_02_00,delay_component,delay_different_operation_matched,later,exact_delay_vs_different_operation,10,6,0.6,0.7,7466.666666666667,0.3333333333333333,7731.2,0.3,-0.0160807311534881,0.8,0.7133789241313935,0.7294596552848815,A00_copy,A06_copy,K00_shortcut_for_A00_copy,S02_surface_rotate,A06_copy,U02_unrelated_substitute
