condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
baseline,4,A00_copy,atomic,14336.0,0.7,2,token_accuracy,0.9446614980697632,0.681640625,0.681640625,token_accuracy,0.7
baseline,4,A01_reverse,atomic,66560.0,0.7,2,token_accuracy,0.85546875,0.22265625,0.22265625,token_accuracy,0.7
baseline,4,A02_substitute,atomic,,0.7,2,token_accuracy,0.7096354365348816,0.01171875,0.01171875,token_accuracy,0.7
baseline,4,A03_copy,atomic,15360.0,0.7,2,token_accuracy,0.943359375,0.669921875,0.669921875,token_accuracy,0.7
baseline,4,A04_reverse,atomic,66560.0,0.7,2,token_accuracy,0.8492838740348816,0.236328125,0.236328125,token_accuracy,0.7
baseline,4,A05_substitute,atomic,,0.7,2,token_accuracy,0.71484375,0.01171875,0.01171875,token_accuracy,0.7
baseline,4,A06_copy,atomic,14336.0,0.7,2,token_accuracy,0.9505208730697632,0.70703125,0.70703125,token_accuracy,0.7
baseline,4,A07_reverse,atomic,66560.0,0.7,2,token_accuracy,0.8440755605697632,0.220703125,0.220703125,token_accuracy,0.7
baseline,4,C00_reverse_then_substitute_06_04,composite,66560.0,0.7,2,token_accuracy,0.8473307490348816,0.20703125,0.20703125,token_accuracy,0.7
baseline,4,C01_substitute_then_reverse_03_04,composite,66560.0,0.7,2,token_accuracy,0.8518880605697632,0.20703125,0.20703125,token_accuracy,0.7
baseline,4,C02_copy_then_substitute_00_07,composite,66560.0,0.7,2,token_accuracy,0.8492838740348816,0.236328125,0.236328125,token_accuracy,0.7
baseline,4,C03_reverse_then_substitute_06_01,composite,66560.0,0.7,2,token_accuracy,0.8570963740348816,0.275390625,0.275390625,token_accuracy,0.7
baseline,4,C04_substitute_then_reverse_07_01,composite,14336.0,0.7,2,token_accuracy,0.9453125,0.6796875,0.6796875,token_accuracy,0.7
baseline,4,C05_copy_then_substitute_06_07,composite,66560.0,0.7,2,token_accuracy,0.845703125,0.216796875,0.216796875,token_accuracy,0.7
baseline,4,C06_reverse_then_substitute_02_00,composite,233216.0,0.7,2,token_accuracy,0.7154948115348816,0.01171875,0.01171875,token_accuracy,0.7
baseline,4,C07_substitute_then_reverse_04_03,composite,66560.0,0.7,2,token_accuracy,0.8518880605697632,0.21875,0.21875,token_accuracy,0.7
baseline,4,K00_shortcut_for_A00_copy,shortcut,14336.0,0.7,2,token_accuracy,0.9459635615348816,0.685546875,0.685546875,token_accuracy,0.7
baseline,4,K01_shortcut_for_A07_reverse,shortcut,14336.0,0.7,2,token_accuracy,0.9479166865348816,0.703125,0.703125,token_accuracy,0.7
baseline,4,K02_shortcut_for_A04_reverse,shortcut,14336.0,0.7,2,token_accuracy,0.9541015625,0.732421875,0.732421875,token_accuracy,0.7
baseline,4,S00_surface_rotate,surface_control,,0.7,2,token_accuracy,0.4983724057674408,0.0,0.0,token_accuracy,0.7
baseline,4,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.5777994990348816,0.001953125,0.001953125,token_accuracy,0.7
baseline,4,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.4456380307674408,0.0,0.0,token_accuracy,0.7
baseline,4,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0966796875,0.0,0.0,token_accuracy,0.7
baseline,4,U01_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.7057291865348816,0.009765625,0.009765625,token_accuracy,0.7
baseline,4,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0953776091337204,0.0,0.0,token_accuracy,0.7
