condition,seed,task_name,realized_sample_count
baseline,6,A00_copy,2793
baseline,6,A01_reverse,2985
baseline,6,A02_substitute,4826
baseline,6,A03_copy,70023
baseline,6,A04_reverse,3446
baseline,6,A05_substitute,2503
baseline,6,A06_copy,33782
baseline,6,A07_reverse,3587
baseline,6,C00_reverse_then_substitute_06_04,12923
baseline,6,C01_substitute_then_reverse_03_04,6880
baseline,6,C02_copy_then_substitute_00_07,2526
baseline,6,C03_reverse_then_substitute_06_01,16370
baseline,6,C04_substitute_then_reverse_07_01,2433
baseline,6,C05_copy_then_substitute_06_07,2866
baseline,6,C06_reverse_then_substitute_02_00,10679
baseline,6,C07_substitute_then_reverse_04_03,22227
baseline,6,K00_shortcut_for_A00_copy,4098
baseline,6,K01_shortcut_for_A07_reverse,4331
baseline,6,K02_shortcut_for_A04_reverse,9026
baseline,6,S00_surface_rotate,5296
baseline,6,S01_surface_rotate,7739
baseline,6,S02_surface_rotate,3763
baseline,6,U00_unrelated_substitute,5634
baseline,6,U01_unrelated_substitute,6244
baseline,6,U02_unrelated_substitute,3132
