condition,seed,task_name,realized_sample_count
corrupt_unrelated_matched,8,A00_copy,2633
corrupt_unrelated_matched,8,A01_reverse,3065
corrupt_unrelated_matched,8,A02_substitute,4565
corrupt_unrelated_matched,8,A03_copy,69942
corrupt_unrelated_matched,8,A04_reverse,3344
corrupt_unrelated_matched,8,A05_substitute,2330
corrupt_unrelated_matched,8,A06_copy,33813
corrupt_unrelated_matched,8,A07_reverse,3558
corrupt_unrelated_matched,8,C00_reverse_then_substitute_06_04,12853
corrupt_unrelated_matched,8,C01_substitute_then_reverse_03_04,7148
corrupt_unrelated_matched,8,C02_copy_then_substitute_00_07,2631
corrupt_unrelated_matched,8,C03_reverse_then_substitute_06_01,16299
corrupt_unrelated_matched,8,C04_substitute_then_reverse_07_01,2571
corrupt_unrelated_matched,8,C05_copy_then_substitute_06_07,2946
corrupt_unrelated_matched,8,C06_reverse_then_substitute_02_00,10729
corrupt_unrelated_matched,8,C07_substitute_then_reverse_04_03,22249
corrupt_unrelated_matched,8,K00_shortcut_for_A00_copy,4072
corrupt_unrelated_matched,8,K01_shortcut_for_A07_reverse,4480
corrupt_unrelated_matched,8,K02_shortcut_for_A04_reverse,9064
corrupt_unrelated_matched,8,S00_surface_rotate,5114
corrupt_unrelated_matched,8,S01_surface_rotate,8005
corrupt_unrelated_matched,8,S02_surface_rotate,3750
corrupt_unrelated_matched,8,U00_unrelated_substitute,5606
corrupt_unrelated_matched,8,U01_unrelated_substitute,6181
corrupt_unrelated_matched,8,U02_unrelated_substitute,3164
