condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
delay_component,2,A00_copy,atomic,13568.0,0.7,2,token_accuracy,0.9794921875,0.87890625,0.87890625,token_accuracy,0.7
delay_component,2,A01_reverse,atomic,57856.0,0.7,2,token_accuracy,0.8199869990348816,0.099609375,0.099609375,token_accuracy,0.7
delay_component,2,A02_substitute,atomic,,0.7,2,token_accuracy,0.6741536855697632,0.00390625,0.00390625,token_accuracy,0.7
delay_component,2,A03_copy,atomic,13568.0,0.7,2,token_accuracy,0.9703776240348816,0.828125,0.828125,token_accuracy,0.7
delay_component,2,A04_reverse,atomic,57856.0,0.7,2,token_accuracy,0.8180338740348816,0.0703125,0.0703125,token_accuracy,0.7
delay_component,2,A05_substitute,atomic,,0.7,2,token_accuracy,0.6653646230697632,0.001953125,0.001953125,token_accuracy,0.7
delay_component,2,A06_copy,atomic,14336.0,0.7,2,token_accuracy,0.9713541865348816,0.841796875,0.841796875,token_accuracy,0.7
delay_component,2,A07_reverse,atomic,57856.0,0.7,2,token_accuracy,0.8173828125,0.08984375,0.08984375,token_accuracy,0.7
delay_component,2,C00_reverse_then_substitute_06_04,composite,57856.0,0.7,2,token_accuracy,0.826171875,0.115234375,0.115234375,token_accuracy,0.7
delay_component,2,C01_substitute_then_reverse_03_04,composite,57856.0,0.7,2,token_accuracy,0.8229166865348816,0.091796875,0.091796875,token_accuracy,0.7
delay_component,2,C02_copy_then_substitute_00_07,composite,61952.0,0.7,2,token_accuracy,0.8203125,0.072265625,0.072265625,token_accuracy,0.7
delay_component,2,C03_reverse_then_substitute_06_01,composite,61952.0,0.7,2,token_accuracy,0.8209635615348816,0.091796875,0.091796875,token_accuracy,0.7
delay_component,2,C04_substitute_then_reverse_07_01,composite,14336.0,0.7,2,token_accuracy,0.9716796875,0.84765625,0.84765625,token_accuracy,0.7
delay_component,2,C05_copy_then_substitute_06_07,composite,57856.0,0.7,2,token_accuracy,0.8277994990348816,0.1015625,0.1015625,token_accuracy,0.7
delay_component,2,C06_reverse_then_substitute_02_00,composite,,0.7,2,token_accuracy,0.6637369990348816,0.001953125,0.001953125,token_accuracy,0.7
delay_component,2,C07_substitute_then_reverse_04_03,composite,57856.0,0.7,2,token_accuracy,0.8180338740348816,0.0703125,0.0703125,token_accuracy,0.7
delay_component,2,K00_shortcut_for_A00_copy,shortcut,14336.0,0.7,2,token_accuracy,0.97265625,0.845703125,0.845703125,token_accuracy,0.7
delay_component,2,K01_shortcut_for_A07_reverse,shortcut,13568.0,0.7,2,token_accuracy,0.9710286855697632,0.83984375,0.83984375,token_accuracy,0.7
delay_component,2,K02_shortcut_for_A04_reverse,shortcut,14336.0,0.7,2,token_accuracy,0.9762369990348816,0.86328125,0.86328125,token_accuracy,0.7
delay_component,2,S00_surface_rotate,surface_control,,0.7,2,token_accuracy,0.318359375,0.0,0.0,token_accuracy,0.7
delay_component,2,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.4326171875,0.001953125,0.001953125,token_accuracy,0.7
delay_component,2,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.279296875,0.0,0.0,token_accuracy,0.7
delay_component,2,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.1031901091337204,0.0,0.0,token_accuracy,0.7
delay_component,2,U01_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.6767578125,0.0,0.0,token_accuracy,0.7
delay_component,2,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.1048177108168602,0.0,0.0,token_accuracy,0.7
