condition,seed,task_name,realized_sample_count
delay_component,8,A00_copy,2783
delay_component,8,A01_reverse,2963
delay_component,8,A02_substitute,3054
delay_component,8,A03_copy,70273
delay_component,8,A04_reverse,3362
delay_component,8,A05_substitute,2380
delay_component,8,A06_copy,34482
delay_component,8,A07_reverse,3557
delay_component,8,C00_reverse_then_substitute_06_04,12892
delay_component,8,C01_substitute_then_reverse_03_04,7069
delay_component,8,C02_copy_then_substitute_00_07,2668
delay_component,8,C03_reverse_then_substitute_06_01,16453
delay_component,8,C04_substitute_then_reverse_07_01,2517
delay_component,8,C05_copy_then_substitute_06_07,2965
delay_component,8,C06_reverse_then_substitute_02_00,10844
delay_component,8,C07_substitute_then_reverse_04_03,22251
delay_component,8,K00_shortcut_for_A00_copy,4055
delay_component,8,K01_shortcut_for_A07_reverse,4571
delay_component,8,K02_shortcut_for_A04_reverse,9007
delay_component,8,S00_surface_rotate,5133
delay_component,8,S01_surface_rotate,7920
delay_component,8,S02_surface_rotate,3835
delay_component,8,U00_unrelated_substitute,5596
delay_component,8,U01_unrelated_substitute,6272
delay_component,8,U02_unrelated_substitute,3210
