condition,seed,task_name,realized_sample_count
delay_unrelated_matched,5,A00_copy,2817
delay_unrelated_matched,5,A01_reverse,3017
delay_unrelated_matched,5,A02_substitute,4806
delay_unrelated_matched,5,A03_copy,70762
delay_unrelated_matched,5,A04_reverse,3518
delay_unrelated_matched,5,A05_substitute,2407
delay_unrelated_matched,5,A06_copy,33951
delay_unrelated_matched,5,A07_reverse,3526
delay_unrelated_matched,5,C00_reverse_then_substitute_06_04,13012
delay_unrelated_matched,5,C01_substitute_then_reverse_03_04,6961
delay_unrelated_matched,5,C02_copy_then_substitute_00_07,2611
delay_unrelated_matched,5,C03_reverse_then_substitute_06_01,16432
delay_unrelated_matched,5,C04_substitute_then_reverse_07_01,2516
delay_unrelated_matched,5,C05_copy_then_substitute_06_07,2982
delay_unrelated_matched,5,C06_reverse_then_substitute_02_00,10695
delay_unrelated_matched,5,C07_substitute_then_reverse_04_03,22303
delay_unrelated_matched,5,K00_shortcut_for_A00_copy,4139
delay_unrelated_matched,5,K01_shortcut_for_A07_reverse,4507
delay_unrelated_matched,5,K02_shortcut_for_A04_reverse,9218
delay_unrelated_matched,5,S00_surface_rotate,5141
delay_unrelated_matched,5,S01_surface_rotate,8187
delay_unrelated_matched,5,S02_surface_rotate,3839
delay_unrelated_matched,5,U00_unrelated_substitute,5622
delay_unrelated_matched,5,U01_unrelated_substitute,3997
delay_unrelated_matched,5,U02_unrelated_substitute,3146
