condition,seed,task_name,realized_sample_count
upweight_component,9,A00_copy,2722
upweight_component,9,A01_reverse,3005
upweight_component,9,A02_substitute,9070
upweight_component,9,A03_copy,68737
upweight_component,9,A04_reverse,3206
upweight_component,9,A05_substitute,2312
upweight_component,9,A06_copy,33282
upweight_component,9,A07_reverse,3366
upweight_component,9,C00_reverse_then_substitute_06_04,12770
upweight_component,9,C01_substitute_then_reverse_03_04,6796
upweight_component,9,C02_copy_then_substitute_00_07,2546
upweight_component,9,C03_reverse_then_substitute_06_01,16069
upweight_component,9,C04_substitute_then_reverse_07_01,2315
upweight_component,9,C05_copy_then_substitute_06_07,2749
upweight_component,9,C06_reverse_then_substitute_02_00,10596
upweight_component,9,C07_substitute_then_reverse_04_03,21740
upweight_component,9,K00_shortcut_for_A00_copy,3973
upweight_component,9,K01_shortcut_for_A07_reverse,4337
upweight_component,9,K02_shortcut_for_A04_reverse,8921
upweight_component,9,S00_surface_rotate,5046
upweight_component,9,S01_surface_rotate,7895
upweight_component,9,S02_surface_rotate,3758
upweight_component,9,U00_unrelated_substitute,5509
upweight_component,9,U01_unrelated_substitute,6201
upweight_component,9,U02_unrelated_substitute,3191
