condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
upweight_fake_component,1,A00_copy,atomic,14336.0,0.7,2,token_accuracy,0.9501953125,0.708984375,0.708984375,token_accuracy,0.7
upweight_fake_component,1,A01_reverse,atomic,71424.0,0.7,2,token_accuracy,0.8538411855697632,0.234375,0.234375,token_accuracy,0.7
upweight_fake_component,1,A02_substitute,atomic,,0.7,2,token_accuracy,0.681640625,0.0,0.0,token_accuracy,0.7
upweight_fake_component,1,A03_copy,atomic,14336.0,0.7,2,token_accuracy,0.9534505605697632,0.72265625,0.72265625,token_accuracy,0.7
upweight_fake_component,1,A04_reverse,atomic,66560.0,0.7,2,token_accuracy,0.8486328125,0.228515625,0.228515625,token_accuracy,0.7
upweight_fake_component,1,A05_substitute,atomic,,0.7,2,token_accuracy,0.681640625,0.0,0.0,token_accuracy,0.7
upweight_fake_component,1,A06_copy,atomic,14336.0,0.7,2,token_accuracy,0.9479166865348816,0.6953125,0.6953125,token_accuracy,0.7
upweight_fake_component,1,A07_reverse,atomic,71424.0,0.7,2,token_accuracy,0.8450521230697632,0.2109375,0.2109375,token_accuracy,0.7
upweight_fake_component,1,C00_reverse_then_substitute_06_04,composite,66560.0,0.7,2,token_accuracy,0.8453776240348816,0.212890625,0.212890625,token_accuracy,0.7
upweight_fake_component,1,C01_substitute_then_reverse_03_04,composite,66560.0,0.7,2,token_accuracy,0.8518880605697632,0.224609375,0.224609375,token_accuracy,0.7
upweight_fake_component,1,C02_copy_then_substitute_00_07,composite,66560.0,0.7,2,token_accuracy,0.8567708730697632,0.232421875,0.232421875,token_accuracy,0.7
upweight_fake_component,1,C03_reverse_then_substitute_06_01,composite,66560.0,0.7,2,token_accuracy,0.8430989980697632,0.208984375,0.208984375,token_accuracy,0.7
upweight_fake_component,1,C04_substitute_then_reverse_07_01,composite,14336.0,0.7,2,token_accuracy,0.9485677480697632,0.703125,0.703125,token_accuracy,0.7
upweight_fake_component,1,C05_copy_then_substitute_06_07,composite,66560.0,0.7,2,token_accuracy,0.8466796875,0.216796875,0.216796875,token_accuracy,0.7
upweight_fake_component,1,C06_reverse_then_substitute_02_00,composite,,0.7,2,token_accuracy,0.6774088740348816,0.001953125,0.001953125,token_accuracy,0.7
upweight_fake_component,1,C07_substitute_then_reverse_04_03,composite,66560.0,0.7,2,token_accuracy,0.84765625,0.205078125,0.205078125,token_accuracy,0.7
upweight_fake_component,1,K00_shortcut_for_A00_copy,shortcut,14336.0,0.7,2,token_accuracy,0.9544271230697632,0.7265625,0.7265625,token_accuracy,0.7
upweight_fake_component,1,K01_shortcut_for_A07_reverse,shortcut,14336.0,0.7,2,token_accuracy,0.958984375,0.75390625,0.75390625,token_accuracy,0.7
upweight_fake_component,1,K02_shortcut_for_A04_reverse,shortcut,14336.0,0.7,2,token_accuracy,0.9524739980697632,0.716796875,0.716796875,token_accuracy,0.7
upweight_fake_component,1,S00_surface_rotate,surface_control,,0.7,2,token_accuracy,0.4052734375,0.001953125,0.001953125,token_accuracy,0.7
upweight_fake_component,1,S01_surface_rotate,surface_control,217600.0,0.7,2,token_accuracy,0.7701823115348816,0.001953125,0.001953125,token_accuracy,0.7
upweight_fake_component,1,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.4641927182674408,0.0,0.0,token_accuracy,0.7
upweight_fake_component,1,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0992838591337204,0.0,0.0,token_accuracy,0.7
upweight_fake_component,1,U01_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.6800130605697632,0.0,0.0,token_accuracy,0.7
upweight_fake_component,1,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0921223983168602,0.0,0.0,token_accuracy,0.7
