condition,seed,task_name,realized_sample_count
upweight_fake_component,4,A00_copy,2732
upweight_fake_component,4,A01_reverse,2850
upweight_fake_component,4,A02_substitute,4763
upweight_fake_component,4,A03_copy,68759
upweight_fake_component,4,A04_reverse,3193
upweight_fake_component,4,A05_substitute,2363
upweight_fake_component,4,A06_copy,32948
upweight_fake_component,4,A07_reverse,3436
upweight_fake_component,4,C00_reverse_then_substitute_06_04,12779
upweight_fake_component,4,C01_substitute_then_reverse_03_04,6939
upweight_fake_component,4,C02_copy_then_substitute_00_07,2609
upweight_fake_component,4,C03_reverse_then_substitute_06_01,16182
upweight_fake_component,4,C04_substitute_then_reverse_07_01,2475
upweight_fake_component,4,C05_copy_then_substitute_06_07,2817
upweight_fake_component,4,C06_reverse_then_substitute_02_00,10335
upweight_fake_component,4,C07_substitute_then_reverse_04_03,21867
upweight_fake_component,4,K00_shortcut_for_A00_copy,4036
upweight_fake_component,4,K01_shortcut_for_A07_reverse,8682
upweight_fake_component,4,K02_shortcut_for_A04_reverse,8818
upweight_fake_component,4,S00_surface_rotate,4994
upweight_fake_component,4,S01_surface_rotate,7936
upweight_fake_component,4,S02_surface_rotate,3616
upweight_fake_component,4,U00_unrelated_substitute,5566
upweight_fake_component,4,U01_unrelated_substitute,6257
upweight_fake_component,4,U02_unrelated_substitute,3160
