condition,seed,task_name,realized_sample_count
upweight_surface_control,0,A00_copy,2709
upweight_surface_control,0,A01_reverse,2968
upweight_surface_control,0,A02_substitute,4708
upweight_surface_control,0,A03_copy,68606
upweight_surface_control,0,A04_reverse,3285
upweight_surface_control,0,A05_substitute,2329
upweight_surface_control,0,A06_copy,32908
upweight_surface_control,0,A07_reverse,3523
upweight_surface_control,0,C00_reverse_then_substitute_06_04,12773
upweight_surface_control,0,C01_substitute_then_reverse_03_04,6705
upweight_surface_control,0,C02_copy_then_substitute_00_07,2551
upweight_surface_control,0,C03_reverse_then_substitute_06_01,16166
upweight_surface_control,0,C04_substitute_then_reverse_07_01,2440
upweight_surface_control,0,C05_copy_then_substitute_06_07,2802
upweight_surface_control,0,C06_reverse_then_substitute_02_00,10523
upweight_surface_control,0,C07_substitute_then_reverse_04_03,21781
upweight_surface_control,0,K00_shortcut_for_A00_copy,4003
upweight_surface_control,0,K01_shortcut_for_A07_reverse,4250
upweight_surface_control,0,K02_shortcut_for_A04_reverse,8805
upweight_surface_control,0,S00_surface_rotate,10129
upweight_surface_control,0,S01_surface_rotate,7787
upweight_surface_control,0,S02_surface_rotate,3671
upweight_surface_control,0,U00_unrelated_substitute,5555
upweight_surface_control,0,U01_unrelated_substitute,6036
upweight_surface_control,0,U02_unrelated_substitute,3099
