condition,seed,task_name,realized_sample_count
corrupt_same_operation_unrelated,3,A00_copy,2747
corrupt_same_operation_unrelated,3,A01_reverse,2961
corrupt_same_operation_unrelated,3,A02_substitute,4808
corrupt_same_operation_unrelated,3,A03_copy,69848
corrupt_same_operation_unrelated,3,A04_reverse,3392
corrupt_same_operation_unrelated,3,A05_substitute,2454
corrupt_same_operation_unrelated,3,A06_copy,33912
corrupt_same_operation_unrelated,3,A07_reverse,3623
corrupt_same_operation_unrelated,3,C00_reverse_then_substitute_06_04,12941
corrupt_same_operation_unrelated,3,C01_substitute_then_reverse_03_04,7026
corrupt_same_operation_unrelated,3,C02_copy_then_substitute_00_07,2566
corrupt_same_operation_unrelated,3,C03_reverse_then_substitute_06_01,16270
corrupt_same_operation_unrelated,3,C04_substitute_then_reverse_07_01,2388
corrupt_same_operation_unrelated,3,C05_copy_then_substitute_06_07,2781
corrupt_same_operation_unrelated,3,C06_reverse_then_substitute_02_00,10651
corrupt_same_operation_unrelated,3,C07_substitute_then_reverse_04_03,22152
corrupt_same_operation_unrelated,3,K00_shortcut_for_A00_copy,4106
corrupt_same_operation_unrelated,3,K01_shortcut_for_A07_reverse,4330
corrupt_same_operation_unrelated,3,K02_shortcut_for_A04_reverse,9024
corrupt_same_operation_unrelated,3,S00_surface_rotate,5292
corrupt_same_operation_unrelated,3,S01_surface_rotate,7842
corrupt_same_operation_unrelated,3,S02_surface_rotate,3891
corrupt_same_operation_unrelated,3,U00_unrelated_substitute,5673
corrupt_same_operation_unrelated,3,U01_unrelated_substitute,6313
corrupt_same_operation_unrelated,3,U02_unrelated_substitute,3121
