condition,seed,task_name,realized_sample_count
delay_component,6,A00_copy,2821
delay_component,6,A01_reverse,3006
delay_component,6,A02_substitute,3089
delay_component,6,A03_copy,70617
delay_component,6,A04_reverse,3392
delay_component,6,A05_substitute,2519
delay_component,6,A06_copy,34006
delay_component,6,A07_reverse,3614
delay_component,6,C00_reverse_then_substitute_06_04,13042
delay_component,6,C01_substitute_then_reverse_03_04,6977
delay_component,6,C02_copy_then_substitute_00_07,2503
delay_component,6,C03_reverse_then_substitute_06_01,16495
delay_component,6,C04_substitute_then_reverse_07_01,2407
delay_component,6,C05_copy_then_substitute_06_07,2913
delay_component,6,C06_reverse_then_substitute_02_00,10731
delay_component,6,C07_substitute_then_reverse_04_03,22359
delay_component,6,K00_shortcut_for_A00_copy,4163
delay_component,6,K01_shortcut_for_A07_reverse,4335
delay_component,6,K02_shortcut_for_A04_reverse,9104
delay_component,6,S00_surface_rotate,5322
delay_component,6,S01_surface_rotate,7808
delay_component,6,S02_surface_rotate,3793
delay_component,6,U00_unrelated_substitute,5657
delay_component,6,U01_unrelated_substitute,6287
delay_component,6,U02_unrelated_substitute,3152
