condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
delay_same_operation_unrelated,6,A00_copy,atomic,13568.0,0.7,2,token_accuracy,0.9514974355697632,0.716796875,0.716796875,token_accuracy,0.7
delay_same_operation_unrelated,6,A01_reverse,atomic,57856.0,0.7,2,token_accuracy,0.8440755605697632,0.224609375,0.224609375,token_accuracy,0.7
delay_same_operation_unrelated,6,A02_substitute,atomic,203008.0,0.7,2,token_accuracy,0.7161458730697632,0.0,0.0,token_accuracy,0.7
delay_same_operation_unrelated,6,A03_copy,atomic,13568.0,0.7,2,token_accuracy,0.9475911855697632,0.6953125,0.6953125,token_accuracy,0.7
delay_same_operation_unrelated,6,A04_reverse,atomic,57856.0,0.7,2,token_accuracy,0.8548177480697632,0.240234375,0.240234375,token_accuracy,0.7
delay_same_operation_unrelated,6,A05_substitute,atomic,203008.0,0.7,2,token_accuracy,0.7220052480697632,0.0,0.0,token_accuracy,0.7
delay_same_operation_unrelated,6,A06_copy,atomic,13568.0,0.7,2,token_accuracy,0.9423828125,0.67578125,0.67578125,token_accuracy,0.7
delay_same_operation_unrelated,6,A07_reverse,atomic,57856.0,0.7,2,token_accuracy,0.8499349355697632,0.2421875,0.2421875,token_accuracy,0.7
delay_same_operation_unrelated,6,C00_reverse_then_substitute_06_04,composite,57856.0,0.7,2,token_accuracy,0.8460286855697632,0.23046875,0.23046875,token_accuracy,0.7
delay_same_operation_unrelated,6,C01_substitute_then_reverse_03_04,composite,57856.0,0.7,2,token_accuracy,0.8411458730697632,0.208984375,0.208984375,token_accuracy,0.7
delay_same_operation_unrelated,6,C02_copy_then_substitute_00_07,composite,57856.0,0.7,2,token_accuracy,0.8492838740348816,0.2265625,0.2265625,token_accuracy,0.7
delay_same_operation_unrelated,6,C03_reverse_then_substitute_06_01,composite,57856.0,0.7,2,token_accuracy,0.8548177480697632,0.240234375,0.240234375,token_accuracy,0.7
delay_same_operation_unrelated,6,C04_substitute_then_reverse_07_01,composite,13568.0,0.7,2,token_accuracy,0.9495443105697632,0.701171875,0.701171875,token_accuracy,0.7
delay_same_operation_unrelated,6,C05_copy_then_substitute_06_07,composite,57856.0,0.7,2,token_accuracy,0.8499349355697632,0.234375,0.234375,token_accuracy,0.7
delay_same_operation_unrelated,6,C06_reverse_then_substitute_02_00,composite,203008.0,0.7,2,token_accuracy,0.7353515625,0.0,0.0,token_accuracy,0.7
delay_same_operation_unrelated,6,C07_substitute_then_reverse_04_03,composite,57856.0,0.7,2,token_accuracy,0.83984375,0.193359375,0.193359375,token_accuracy,0.7
delay_same_operation_unrelated,6,K00_shortcut_for_A00_copy,shortcut,13568.0,0.7,2,token_accuracy,0.9469401240348816,0.69921875,0.69921875,token_accuracy,0.7
delay_same_operation_unrelated,6,K01_shortcut_for_A07_reverse,shortcut,13568.0,0.7,2,token_accuracy,0.9498698115348816,0.708984375,0.708984375,token_accuracy,0.7
delay_same_operation_unrelated,6,K02_shortcut_for_A04_reverse,shortcut,13568.0,0.7,2,token_accuracy,0.9498698115348816,0.70703125,0.70703125,token_accuracy,0.7
delay_same_operation_unrelated,6,S00_surface_rotate,surface_control,,0.7,2,token_accuracy,0.341796875,0.0,0.0,token_accuracy,0.7
delay_same_operation_unrelated,6,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.6490885615348816,0.0,0.0,token_accuracy,0.7
delay_same_operation_unrelated,6,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.5130208730697632,0.0,0.0,token_accuracy,0.7
delay_same_operation_unrelated,6,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0979817733168602,0.0,0.0,token_accuracy,0.7
delay_same_operation_unrelated,6,U01_unrelated_substitute,unrelated,203008.0,0.7,2,token_accuracy,0.7249349355697632,0.0,0.0,token_accuracy,0.7
delay_same_operation_unrelated,6,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0960286483168602,0.0,0.0,token_accuracy,0.7
