condition,seed,task_name,realized_sample_count
delay_same_operation_unrelated,8,A00_copy,2789
delay_same_operation_unrelated,8,A01_reverse,2970
delay_same_operation_unrelated,8,A02_substitute,4730
delay_same_operation_unrelated,8,A03_copy,70360
delay_same_operation_unrelated,8,A04_reverse,3352
delay_same_operation_unrelated,8,A05_substitute,2366
delay_same_operation_unrelated,8,A06_copy,34534
delay_same_operation_unrelated,8,A07_reverse,3604
delay_same_operation_unrelated,8,C00_reverse_then_substitute_06_04,12908
delay_same_operation_unrelated,8,C01_substitute_then_reverse_03_04,7063
delay_same_operation_unrelated,8,C02_copy_then_substitute_00_07,2645
delay_same_operation_unrelated,8,C03_reverse_then_substitute_06_01,16525
delay_same_operation_unrelated,8,C04_substitute_then_reverse_07_01,2527
delay_same_operation_unrelated,8,C05_copy_then_substitute_06_07,2922
delay_same_operation_unrelated,8,C06_reverse_then_substitute_02_00,10862
delay_same_operation_unrelated,8,C07_substitute_then_reverse_04_03,22273
delay_same_operation_unrelated,8,K00_shortcut_for_A00_copy,4155
delay_same_operation_unrelated,8,K01_shortcut_for_A07_reverse,4463
delay_same_operation_unrelated,8,K02_shortcut_for_A04_reverse,9081
delay_same_operation_unrelated,8,S00_surface_rotate,5164
delay_same_operation_unrelated,8,S01_surface_rotate,7897
delay_same_operation_unrelated,8,S02_surface_rotate,3848
delay_same_operation_unrelated,8,U00_unrelated_substitute,3579
delay_same_operation_unrelated,8,U01_unrelated_substitute,6277
delay_same_operation_unrelated,8,U02_unrelated_substitute,3218
