condition,seed,task_name,realized_sample_count
upweight_different_operation_matched,2,A00_copy,2647
upweight_different_operation_matched,2,A01_reverse,3058
upweight_different_operation_matched,2,A02_substitute,4651
upweight_different_operation_matched,2,A03_copy,69019
upweight_different_operation_matched,2,A04_reverse,3258
upweight_different_operation_matched,2,A05_substitute,2354
upweight_different_operation_matched,2,A06_copy,33310
upweight_different_operation_matched,2,A07_reverse,7123
upweight_different_operation_matched,2,C00_reverse_then_substitute_06_04,12761
upweight_different_operation_matched,2,C01_substitute_then_reverse_03_04,6778
upweight_different_operation_matched,2,C02_copy_then_substitute_00_07,2551
upweight_different_operation_matched,2,C03_reverse_then_substitute_06_01,16023
upweight_different_operation_matched,2,C04_substitute_then_reverse_07_01,2483
upweight_different_operation_matched,2,C05_copy_then_substitute_06_07,2806
upweight_different_operation_matched,2,C06_reverse_then_substitute_02_00,10679
upweight_different_operation_matched,2,C07_substitute_then_reverse_04_03,21668
upweight_different_operation_matched,2,K00_shortcut_for_A00_copy,4132
upweight_different_operation_matched,2,K01_shortcut_for_A07_reverse,4391
upweight_different_operation_matched,2,K02_shortcut_for_A04_reverse,8891
upweight_different_operation_matched,2,S00_surface_rotate,5171
upweight_different_operation_matched,2,S01_surface_rotate,7845
upweight_different_operation_matched,2,S02_surface_rotate,3772
upweight_different_operation_matched,2,U00_unrelated_substitute,5621
upweight_different_operation_matched,2,U01_unrelated_substitute,6048
upweight_different_operation_matched,2,U02_unrelated_substitute,3072
