condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
upweight_different_operation_matched,9,A00_copy,atomic,14336.0,0.7,2,token_accuracy,0.9541015625,0.7265625,0.7265625,token_accuracy,0.7
upweight_different_operation_matched,9,A01_reverse,atomic,61952.0,0.7,2,token_accuracy,0.830078125,0.162109375,0.162109375,token_accuracy,0.7
upweight_different_operation_matched,9,A02_substitute,atomic,,0.7,2,token_accuracy,0.5999349355697632,0.0,0.0,token_accuracy,0.7
upweight_different_operation_matched,9,A03_copy,atomic,14336.0,0.7,2,token_accuracy,0.9547526240348816,0.75390625,0.75390625,token_accuracy,0.7
upweight_different_operation_matched,9,A04_reverse,atomic,61952.0,0.7,2,token_accuracy,0.8307291865348816,0.201171875,0.201171875,token_accuracy,0.7
upweight_different_operation_matched,9,A05_substitute,atomic,,0.7,2,token_accuracy,0.6083984375,0.0,0.0,token_accuracy,0.7
upweight_different_operation_matched,9,A06_copy,atomic,14336.0,0.7,2,token_accuracy,0.9505208730697632,0.71484375,0.71484375,token_accuracy,0.7
upweight_different_operation_matched,9,A07_reverse,atomic,61952.0,0.7,2,token_accuracy,0.8313802480697632,0.189453125,0.189453125,token_accuracy,0.7
upweight_different_operation_matched,9,C00_reverse_then_substitute_06_04,composite,61952.0,0.7,2,token_accuracy,0.8310546875,0.177734375,0.177734375,token_accuracy,0.7
upweight_different_operation_matched,9,C01_substitute_then_reverse_03_04,composite,61952.0,0.7,2,token_accuracy,0.8330078125,0.19921875,0.19921875,token_accuracy,0.7
upweight_different_operation_matched,9,C02_copy_then_substitute_00_07,composite,61952.0,0.7,2,token_accuracy,0.8388671875,0.20703125,0.20703125,token_accuracy,0.7
upweight_different_operation_matched,9,C03_reverse_then_substitute_06_01,composite,61952.0,0.7,2,token_accuracy,0.8307291865348816,0.193359375,0.193359375,token_accuracy,0.7
upweight_different_operation_matched,9,C04_substitute_then_reverse_07_01,composite,14336.0,0.7,2,token_accuracy,0.9573568105697632,0.765625,0.765625,token_accuracy,0.7
upweight_different_operation_matched,9,C05_copy_then_substitute_06_07,composite,61952.0,0.7,2,token_accuracy,0.83203125,0.169921875,0.169921875,token_accuracy,0.7
upweight_different_operation_matched,9,C06_reverse_then_substitute_02_00,composite,,0.7,2,token_accuracy,0.6022135615348816,0.00390625,0.00390625,token_accuracy,0.7
upweight_different_operation_matched,9,C07_substitute_then_reverse_04_03,composite,61952.0,0.7,2,token_accuracy,0.8287760615348816,0.181640625,0.181640625,token_accuracy,0.7
upweight_different_operation_matched,9,K00_shortcut_for_A00_copy,shortcut,14336.0,0.7,2,token_accuracy,0.9534505605697632,0.736328125,0.736328125,token_accuracy,0.7
upweight_different_operation_matched,9,K01_shortcut_for_A07_reverse,shortcut,14336.0,0.7,2,token_accuracy,0.9514974355697632,0.73828125,0.73828125,token_accuracy,0.7
upweight_different_operation_matched,9,K02_shortcut_for_A04_reverse,shortcut,14336.0,0.7,2,token_accuracy,0.9544271230697632,0.7421875,0.7421875,token_accuracy,0.7
upweight_different_operation_matched,9,S00_surface_rotate,surface_control,,0.7,2,token_accuracy,0.2985026240348816,0.0,0.0,token_accuracy,0.7
upweight_different_operation_matched,9,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.3955078125,0.0,0.0,token_accuracy,0.7
upweight_different_operation_matched,9,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.2412109375,0.0,0.0,token_accuracy,0.7
upweight_different_operation_matched,9,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.06640625,0.0,0.0,token_accuracy,0.7
upweight_different_operation_matched,9,U01_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.6009114980697632,0.0,0.0,token_accuracy,0.7
upweight_different_operation_matched,9,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.072265625,0.0,0.0,token_accuracy,0.7
