condition,seed,task_name,realized_sample_count
corrupt_component,7,A00_copy,2775
corrupt_component,7,A01_reverse,2957
corrupt_component,7,A02_substitute,4878
corrupt_component,7,A03_copy,69662
corrupt_component,7,A04_reverse,3317
corrupt_component,7,A05_substitute,2409
corrupt_component,7,A06_copy,33674
corrupt_component,7,A07_reverse,3620
corrupt_component,7,C00_reverse_then_substitute_06_04,13118
corrupt_component,7,C01_substitute_then_reverse_03_04,6977
corrupt_component,7,C02_copy_then_substitute_00_07,2684
corrupt_component,7,C03_reverse_then_substitute_06_01,16616
corrupt_component,7,C04_substitute_then_reverse_07_01,2469
corrupt_component,7,C05_copy_then_substitute_06_07,2906
corrupt_component,7,C06_reverse_then_substitute_02_00,10774
corrupt_component,7,C07_substitute_then_reverse_04_03,22204
corrupt_component,7,K00_shortcut_for_A00_copy,4031
corrupt_component,7,K01_shortcut_for_A07_reverse,4422
corrupt_component,7,K02_shortcut_for_A04_reverse,8792
corrupt_component,7,S00_surface_rotate,5262
corrupt_component,7,S01_surface_rotate,7872
corrupt_component,7,S02_surface_rotate,3736
corrupt_component,7,U00_unrelated_substitute,5722
corrupt_component,7,U01_unrelated_substitute,6175
corrupt_component,7,U02_unrelated_substitute,3060
