condition,seed,task_name,realized_sample_count
corrupt_different_operation_matched,0,A00_copy,2727
corrupt_different_operation_matched,0,A01_reverse,3017
corrupt_different_operation_matched,0,A02_substitute,4705
corrupt_different_operation_matched,0,A03_copy,70114
corrupt_different_operation_matched,0,A04_reverse,3338
corrupt_different_operation_matched,0,A05_substitute,2376
corrupt_different_operation_matched,0,A06_copy,33531
corrupt_different_operation_matched,0,A07_reverse,3427
corrupt_different_operation_matched,0,C00_reverse_then_substitute_06_04,12846
corrupt_different_operation_matched,0,C01_substitute_then_reverse_03_04,6872
corrupt_different_operation_matched,0,C02_copy_then_substitute_00_07,2577
corrupt_different_operation_matched,0,C03_reverse_then_substitute_06_01,16397
corrupt_different_operation_matched,0,C04_substitute_then_reverse_07_01,2483
corrupt_different_operation_matched,0,C05_copy_then_substitute_06_07,2818
corrupt_different_operation_matched,0,C06_reverse_then_substitute_02_00,10740
corrupt_different_operation_matched,0,C07_substitute_then_reverse_04_03,22244
corrupt_different_operation_matched,0,K00_shortcut_for_A00_copy,3996
corrupt_different_operation_matched,0,K01_shortcut_for_A07_reverse,4520
corrupt_different_operation_matched,0,K02_shortcut_for_A04_reverse,9252
corrupt_different_operation_matched,0,S00_surface_rotate,5204
corrupt_different_operation_matched,0,S01_surface_rotate,8021
corrupt_different_operation_matched,0,S02_surface_rotate,3757
corrupt_different_operation_matched,0,U00_unrelated_substitute,5706
corrupt_different_operation_matched,0,U01_unrelated_substitute,6302
corrupt_different_operation_matched,0,U02_unrelated_substitute,3142
