condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
delay_component,1,A00_copy,atomic,14336.0,0.7,2,token_accuracy,0.9580078125,0.755859375,0.755859375,token_accuracy,0.7
delay_component,1,A01_reverse,atomic,71424.0,0.7,2,token_accuracy,0.86328125,0.212890625,0.212890625,token_accuracy,0.7
delay_component,1,A02_substitute,atomic,217600.0,0.7,2,token_accuracy,0.7301432490348816,0.0,0.0,token_accuracy,0.7
delay_component,1,A03_copy,atomic,14336.0,0.7,2,token_accuracy,0.958984375,0.763671875,0.763671875,token_accuracy,0.7
delay_component,1,A04_reverse,atomic,71424.0,0.7,2,token_accuracy,0.8577474355697632,0.19921875,0.19921875,token_accuracy,0.7
delay_component,1,A05_substitute,atomic,217600.0,0.7,2,token_accuracy,0.7288411855697632,0.0,0.0,token_accuracy,0.7
delay_component,1,A06_copy,atomic,14336.0,0.7,2,token_accuracy,0.9567057490348816,0.748046875,0.748046875,token_accuracy,0.7
delay_component,1,A07_reverse,atomic,71424.0,0.7,2,token_accuracy,0.8590494990348816,0.1953125,0.1953125,token_accuracy,0.7
delay_component,1,C00_reverse_then_substitute_06_04,composite,71424.0,0.7,2,token_accuracy,0.8567708730697632,0.181640625,0.181640625,token_accuracy,0.7
delay_component,1,C01_substitute_then_reverse_03_04,composite,71424.0,0.7,2,token_accuracy,0.8619791865348816,0.205078125,0.205078125,token_accuracy,0.7
delay_component,1,C02_copy_then_substitute_00_07,composite,71424.0,0.7,2,token_accuracy,0.8619791865348816,0.19921875,0.19921875,token_accuracy,0.7
delay_component,1,C03_reverse_then_substitute_06_01,composite,71424.0,0.7,2,token_accuracy,0.85546875,0.193359375,0.193359375,token_accuracy,0.7
delay_component,1,C04_substitute_then_reverse_07_01,composite,14336.0,0.7,2,token_accuracy,0.9612630605697632,0.775390625,0.775390625,token_accuracy,0.7
delay_component,1,C05_copy_then_substitute_06_07,composite,71424.0,0.7,2,token_accuracy,0.8557943105697632,0.181640625,0.181640625,token_accuracy,0.7
delay_component,1,C06_reverse_then_substitute_02_00,composite,217600.0,0.7,2,token_accuracy,0.7223307490348816,0.0,0.0,token_accuracy,0.7
delay_component,1,C07_substitute_then_reverse_04_03,composite,71424.0,0.7,2,token_accuracy,0.859375,0.19140625,0.19140625,token_accuracy,0.7
delay_component,1,K00_shortcut_for_A00_copy,shortcut,14336.0,0.7,2,token_accuracy,0.9593099355697632,0.76171875,0.76171875,token_accuracy,0.7
delay_component,1,K01_shortcut_for_A07_reverse,shortcut,14336.0,0.7,2,token_accuracy,0.9619140625,0.77734375,0.77734375,token_accuracy,0.7
delay_component,1,K02_shortcut_for_A04_reverse,shortcut,14336.0,0.7,2,token_accuracy,0.9632161855697632,0.78125,0.78125,token_accuracy,0.7
delay_component,1,S00_surface_rotate,surface_control,,0.7,2,token_accuracy,0.3551432490348816,0.001953125,0.001953125,token_accuracy,0.7
delay_component,1,S01_surface_rotate,surface_control,189184.0,0.7,2,token_accuracy,0.7711588740348816,0.001953125,0.001953125,token_accuracy,0.7
delay_component,1,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.5149739980697632,0.0,0.0,token_accuracy,0.7
delay_component,1,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.158203125,0.0,0.0,token_accuracy,0.7
delay_component,1,U01_unrelated_substitute,unrelated,189184.0,0.7,2,token_accuracy,0.7262369990348816,0.0,0.0,token_accuracy,0.7
delay_component,1,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.1448567807674408,0.0,0.0,token_accuracy,0.7
