condition,seed,task_name,realized_sample_count
delay_different_operation_matched,3,A00_copy,2717
delay_different_operation_matched,3,A01_reverse,3067
delay_different_operation_matched,3,A02_substitute,4749
delay_different_operation_matched,3,A03_copy,70597
delay_different_operation_matched,3,A04_reverse,3345
delay_different_operation_matched,3,A05_substitute,2370
delay_different_operation_matched,3,A06_copy,33794
delay_different_operation_matched,3,A07_reverse,3662
delay_different_operation_matched,3,C00_reverse_then_substitute_06_04,13012
delay_different_operation_matched,3,C01_substitute_then_reverse_03_04,6941
delay_different_operation_matched,3,C02_copy_then_substitute_00_07,2536
delay_different_operation_matched,3,C03_reverse_then_substitute_06_01,16567
delay_different_operation_matched,3,C04_substitute_then_reverse_07_01,2530
delay_different_operation_matched,3,C05_copy_then_substitute_06_07,2867
delay_different_operation_matched,3,C06_reverse_then_substitute_02_00,10669
delay_different_operation_matched,3,C07_substitute_then_reverse_04_03,22268
delay_different_operation_matched,3,K00_shortcut_for_A00_copy,4140
delay_different_operation_matched,3,K01_shortcut_for_A07_reverse,4442
delay_different_operation_matched,3,K02_shortcut_for_A04_reverse,9127
delay_different_operation_matched,3,S00_surface_rotate,5101
delay_different_operation_matched,3,S01_surface_rotate,7767
delay_different_operation_matched,3,S02_surface_rotate,3804
delay_different_operation_matched,3,U00_unrelated_substitute,5715
delay_different_operation_matched,3,U01_unrelated_substitute,6307
delay_different_operation_matched,3,U02_unrelated_substitute,2018
