condition,seed,task_name,realized_sample_count
upweight_component,0,A00_copy,5456
upweight_component,0,A01_reverse,3069
upweight_component,0,A02_substitute,4598
upweight_component,0,A03_copy,69300
upweight_component,0,A04_reverse,3301
upweight_component,0,A05_substitute,2336
upweight_component,0,A06_copy,33268
upweight_component,0,A07_reverse,3547
upweight_component,0,C00_reverse_then_substitute_06_04,12865
upweight_component,0,C01_substitute_then_reverse_03_04,6754
upweight_component,0,C02_copy_then_substitute_00_07,2668
upweight_component,0,C03_reverse_then_substitute_06_01,16324
upweight_component,0,C04_substitute_then_reverse_07_01,2434
upweight_component,0,C05_copy_then_substitute_06_07,2893
upweight_component,0,C06_reverse_then_substitute_02_00,10557
upweight_component,0,C07_substitute_then_reverse_04_03,22034
upweight_component,0,K00_shortcut_for_A00_copy,3938
upweight_component,0,K01_shortcut_for_A07_reverse,4275
upweight_component,0,K02_shortcut_for_A04_reverse,9014
upweight_component,0,S00_surface_rotate,5082
upweight_component,0,S01_surface_rotate,7863
upweight_component,0,S02_surface_rotate,3678
upweight_component,0,U00_unrelated_substitute,5636
upweight_component,0,U01_unrelated_substitute,6085
upweight_component,0,U02_unrelated_substitute,3137
