condition,seed,task_name,realized_sample_count
upweight_fake_component,2,A00_copy,2643
upweight_fake_component,2,A01_reverse,3049
upweight_fake_component,2,A02_substitute,4644
upweight_fake_component,2,A03_copy,68889
upweight_fake_component,2,A04_reverse,3254
upweight_fake_component,2,A05_substitute,2323
upweight_fake_component,2,A06_copy,33271
upweight_fake_component,2,A07_reverse,3518
upweight_fake_component,2,C00_reverse_then_substitute_06_04,12708
upweight_fake_component,2,C01_substitute_then_reverse_03_04,6848
upweight_fake_component,2,C02_copy_then_substitute_00_07,2570
upweight_fake_component,2,C03_reverse_then_substitute_06_01,15969
upweight_fake_component,2,C04_substitute_then_reverse_07_01,2441
upweight_fake_component,2,C05_copy_then_substitute_06_07,2824
upweight_fake_component,2,C06_reverse_then_substitute_02_00,10568
upweight_fake_component,2,C07_substitute_then_reverse_04_03,21760
upweight_fake_component,2,K00_shortcut_for_A00_copy,8128
upweight_fake_component,2,K01_shortcut_for_A07_reverse,4357
upweight_fake_component,2,K02_shortcut_for_A04_reverse,8874
upweight_fake_component,2,S00_surface_rotate,5170
upweight_fake_component,2,S01_surface_rotate,7834
upweight_fake_component,2,S02_surface_rotate,3757
upweight_fake_component,2,U00_unrelated_substitute,5618
upweight_fake_component,2,U01_unrelated_substitute,6030
upweight_fake_component,2,U02_unrelated_substitute,3065
