condition,seed,task_name,realized_sample_count
upweight_surface_control,1,A00_copy,2777
upweight_surface_control,1,A01_reverse,3043
upweight_surface_control,1,A02_substitute,4634
upweight_surface_control,1,A03_copy,69021
upweight_surface_control,1,A04_reverse,3282
upweight_surface_control,1,A05_substitute,2310
upweight_surface_control,1,A06_copy,33123
upweight_surface_control,1,A07_reverse,3487
upweight_surface_control,1,C00_reverse_then_substitute_06_04,12627
upweight_surface_control,1,C01_substitute_then_reverse_03_04,6910
upweight_surface_control,1,C02_copy_then_substitute_00_07,2498
upweight_surface_control,1,C03_reverse_then_substitute_06_01,16087
upweight_surface_control,1,C04_substitute_then_reverse_07_01,2446
upweight_surface_control,1,C05_copy_then_substitute_06_07,2832
upweight_surface_control,1,C06_reverse_then_substitute_02_00,10531
upweight_surface_control,1,C07_substitute_then_reverse_04_03,21710
upweight_surface_control,1,K00_shortcut_for_A00_copy,4005
upweight_surface_control,1,K01_shortcut_for_A07_reverse,4389
upweight_surface_control,1,K02_shortcut_for_A04_reverse,8895
upweight_surface_control,1,S00_surface_rotate,5192
upweight_surface_control,1,S01_surface_rotate,7788
upweight_surface_control,1,S02_surface_rotate,7494
upweight_surface_control,1,U00_unrelated_substitute,5653
upweight_surface_control,1,U01_unrelated_substitute,6183
upweight_surface_control,1,U02_unrelated_substitute,3195
