condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
upweight_surface_control,7,A00_copy,atomic,14336.0,0.7,2,token_accuracy,0.962890625,0.78515625,0.78515625,token_accuracy,0.7
upweight_surface_control,7,A01_reverse,atomic,66560.0,0.7,2,token_accuracy,0.8359375,0.142578125,0.142578125,token_accuracy,0.7
upweight_surface_control,7,A02_substitute,atomic,164608.0,0.7,2,token_accuracy,0.779296875,0.01171875,0.01171875,token_accuracy,0.7
upweight_surface_control,7,A03_copy,atomic,15360.0,0.7,2,token_accuracy,0.9658203125,0.796875,0.796875,token_accuracy,0.7
upweight_surface_control,7,A04_reverse,atomic,66560.0,0.7,2,token_accuracy,0.8343099355697632,0.14453125,0.14453125,token_accuracy,0.7
upweight_surface_control,7,A05_substitute,atomic,164608.0,0.7,2,token_accuracy,0.7848307490348816,0.005859375,0.005859375,token_accuracy,0.7
upweight_surface_control,7,A06_copy,atomic,15360.0,0.7,2,token_accuracy,0.9661458730697632,0.802734375,0.802734375,token_accuracy,0.7
upweight_surface_control,7,A07_reverse,atomic,66560.0,0.7,2,token_accuracy,0.8359375,0.146484375,0.146484375,token_accuracy,0.7
upweight_surface_control,7,C00_reverse_then_substitute_06_04,composite,66560.0,0.7,2,token_accuracy,0.8421224355697632,0.171875,0.171875,token_accuracy,0.7
upweight_surface_control,7,C01_substitute_then_reverse_03_04,composite,66560.0,0.7,2,token_accuracy,0.8395182490348816,0.142578125,0.142578125,token_accuracy,0.7
upweight_surface_control,7,C02_copy_then_substitute_00_07,composite,66560.0,0.7,2,token_accuracy,0.8352864980697632,0.150390625,0.150390625,token_accuracy,0.7
upweight_surface_control,7,C03_reverse_then_substitute_06_01,composite,66560.0,0.7,2,token_accuracy,0.8395182490348816,0.1484375,0.1484375,token_accuracy,0.7
upweight_surface_control,7,C04_substitute_then_reverse_07_01,composite,15360.0,0.7,2,token_accuracy,0.9684244990348816,0.8125,0.8125,token_accuracy,0.7
upweight_surface_control,7,C05_copy_then_substitute_06_07,composite,66560.0,0.7,2,token_accuracy,0.8424479365348816,0.169921875,0.169921875,token_accuracy,0.7
upweight_surface_control,7,C06_reverse_then_substitute_02_00,composite,176384.0,0.7,2,token_accuracy,0.7877604365348816,0.00390625,0.00390625,token_accuracy,0.7
upweight_surface_control,7,C07_substitute_then_reverse_04_03,composite,66560.0,0.7,2,token_accuracy,0.8375651240348816,0.140625,0.140625,token_accuracy,0.7
upweight_surface_control,7,K00_shortcut_for_A00_copy,shortcut,14336.0,0.7,2,token_accuracy,0.9680989980697632,0.810546875,0.810546875,token_accuracy,0.7
upweight_surface_control,7,K01_shortcut_for_A07_reverse,shortcut,14336.0,0.7,2,token_accuracy,0.9651693105697632,0.798828125,0.798828125,token_accuracy,0.7
upweight_surface_control,7,K02_shortcut_for_A04_reverse,shortcut,14336.0,0.7,2,token_accuracy,0.9612630605697632,0.771484375,0.771484375,token_accuracy,0.7
upweight_surface_control,7,S00_surface_rotate,surface_control,,0.7,2,token_accuracy,0.490234375,0.0,0.0,token_accuracy,0.7
upweight_surface_control,7,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.6787109375,0.0,0.0,token_accuracy,0.7
upweight_surface_control,7,S02_surface_rotate,surface_control,217600.0,0.7,2,token_accuracy,0.7151693105697632,0.0,0.0,token_accuracy,0.7
upweight_surface_control,7,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.5895182490348816,0.0,0.0,token_accuracy,0.7
upweight_surface_control,7,U01_unrelated_substitute,unrelated,153600.0,0.7,2,token_accuracy,0.7828776240348816,0.0078125,0.0078125,token_accuracy,0.7
upweight_surface_control,7,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.5885416865348816,0.0,0.0,token_accuracy,0.7
