condition,seed,task_name,realized_sample_count
baseline,0,A00_copy,2765
baseline,0,A01_reverse,3044
baseline,0,A02_substitute,4797
baseline,0,A03_copy,69981
baseline,0,A04_reverse,3346
baseline,0,A05_substitute,2370
baseline,0,A06_copy,33721
baseline,0,A07_reverse,3524
baseline,0,C00_reverse_then_substitute_06_04,12931
baseline,0,C01_substitute_then_reverse_03_04,6901
baseline,0,C02_copy_then_substitute_00_07,2617
baseline,0,C03_reverse_then_substitute_06_01,16540
baseline,0,C04_substitute_then_reverse_07_01,2471
baseline,0,C05_copy_then_substitute_06_07,2899
baseline,0,C06_reverse_then_substitute_02_00,10646
baseline,0,C07_substitute_then_reverse_04_03,22288
baseline,0,K00_shortcut_for_A00_copy,4037
baseline,0,K01_shortcut_for_A07_reverse,4305
baseline,0,K02_shortcut_for_A04_reverse,9093
baseline,0,S00_surface_rotate,5170
baseline,0,S01_surface_rotate,7935
baseline,0,S02_surface_rotate,3709
baseline,0,U00_unrelated_substitute,5701
baseline,0,U01_unrelated_substitute,6150
baseline,0,U02_unrelated_substitute,3171
