condition,seed,task_name,realized_sample_count
corrupt_component_strong,3,A00_copy,2792
corrupt_component_strong,3,A01_reverse,2940
corrupt_component_strong,3,A02_substitute,4685
corrupt_component_strong,3,A03_copy,69889
corrupt_component_strong,3,A04_reverse,3315
corrupt_component_strong,3,A05_substitute,2344
corrupt_component_strong,3,A06_copy,34129
corrupt_component_strong,3,A07_reverse,3524
corrupt_component_strong,3,C00_reverse_then_substitute_06_04,12991
corrupt_component_strong,3,C01_substitute_then_reverse_03_04,6950
corrupt_component_strong,3,C02_copy_then_substitute_00_07,2647
corrupt_component_strong,3,C03_reverse_then_substitute_06_01,16463
corrupt_component_strong,3,C04_substitute_then_reverse_07_01,2501
corrupt_component_strong,3,C05_copy_then_substitute_06_07,2770
corrupt_component_strong,3,C06_reverse_then_substitute_02_00,10655
corrupt_component_strong,3,C07_substitute_then_reverse_04_03,22259
corrupt_component_strong,3,K00_shortcut_for_A00_copy,4088
corrupt_component_strong,3,K01_shortcut_for_A07_reverse,4350
corrupt_component_strong,3,K02_shortcut_for_A04_reverse,9133
corrupt_component_strong,3,S00_surface_rotate,5226
corrupt_component_strong,3,S01_surface_rotate,7738
corrupt_component_strong,3,S02_surface_rotate,3745
corrupt_component_strong,3,U00_unrelated_substitute,5620
corrupt_component_strong,3,U01_unrelated_substitute,6167
corrupt_component_strong,3,U02_unrelated_substitute,3191
