condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
corrupt_different_operation_matched_strong,7,A00_copy,atomic,15360.0,0.7,2,token_accuracy,0.9720052480697632,0.833984375,0.833984375,token_accuracy,0.7
corrupt_different_operation_matched_strong,7,A01_reverse,atomic,71424.0,0.7,2,token_accuracy,0.8294271230697632,0.154296875,0.154296875,token_accuracy,0.7
corrupt_different_operation_matched_strong,7,A02_substitute,atomic,164608.0,0.7,2,token_accuracy,0.7945963740348816,0.017578125,0.017578125,token_accuracy,0.7
corrupt_different_operation_matched_strong,7,A03_copy,atomic,14336.0,0.7,2,token_accuracy,0.9635416865348816,0.78515625,0.78515625,token_accuracy,0.7
corrupt_different_operation_matched_strong,7,A04_reverse,atomic,71424.0,0.7,2,token_accuracy,0.833984375,0.13671875,0.13671875,token_accuracy,0.7
corrupt_different_operation_matched_strong,7,A05_substitute,atomic,164608.0,0.7,2,token_accuracy,0.8017578125,0.0234375,0.0234375,token_accuracy,0.7
corrupt_different_operation_matched_strong,7,A06_copy,atomic,15360.0,0.7,2,token_accuracy,0.9690755605697632,0.814453125,0.814453125,token_accuracy,0.7
corrupt_different_operation_matched_strong,7,A07_reverse,atomic,71424.0,0.7,2,token_accuracy,0.830078125,0.1328125,0.1328125,token_accuracy,0.7
corrupt_different_operation_matched_strong,7,C00_reverse_then_substitute_06_04,composite,71424.0,0.7,2,token_accuracy,0.8313802480697632,0.13671875,0.13671875,token_accuracy,0.7
corrupt_different_operation_matched_strong,7,C01_substitute_then_reverse_03_04,composite,71424.0,0.7,2,token_accuracy,0.8294271230697632,0.11328125,0.11328125,token_accuracy,0.7
corrupt_different_operation_matched_strong,7,C02_copy_then_substitute_00_07,composite,71424.0,0.7,2,token_accuracy,0.8404948115348816,0.173828125,0.173828125,token_accuracy,0.7
corrupt_different_operation_matched_strong,7,C03_reverse_then_substitute_06_01,composite,71424.0,0.7,2,token_accuracy,0.8219401240348816,0.11328125,0.11328125,token_accuracy,0.7
corrupt_different_operation_matched_strong,7,C04_substitute_then_reverse_07_01,composite,14336.0,0.7,2,token_accuracy,0.9638671875,0.79296875,0.79296875,token_accuracy,0.7
corrupt_different_operation_matched_strong,7,C05_copy_then_substitute_06_07,composite,71424.0,0.7,2,token_accuracy,0.828125,0.1328125,0.1328125,token_accuracy,0.7
corrupt_different_operation_matched_strong,7,C06_reverse_then_substitute_02_00,composite,164608.0,0.7,2,token_accuracy,0.7985026240348816,0.021484375,0.021484375,token_accuracy,0.7
corrupt_different_operation_matched_strong,7,C07_substitute_then_reverse_04_03,composite,71424.0,0.7,2,token_accuracy,0.8317057490348816,0.150390625,0.150390625,token_accuracy,0.7
corrupt_different_operation_matched_strong,7,K00_shortcut_for_A00_copy,shortcut,15360.0,0.7,2,token_accuracy,0.9641927480697632,0.7890625,0.7890625,token_accuracy,0.7
corrupt_different_operation_matched_strong,7,K01_shortcut_for_A07_reverse,shortcut,14336.0,0.7,2,token_accuracy,0.96875,0.81640625,0.81640625,token_accuracy,0.7
corrupt_different_operation_matched_strong,7,K02_shortcut_for_A04_reverse,shortcut,14336.0,0.7,2,token_accuracy,0.9710286855697632,0.826171875,0.826171875,token_accuracy,0.7
corrupt_different_operation_matched_strong,7,S00_surface_rotate,surface_control,,0.7,2,token_accuracy,0.4866536557674408,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,7,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.6012369990348816,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,7,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.615234375,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,7,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.599609375,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,7,U01_unrelated_substitute,unrelated,176384.0,0.7,2,token_accuracy,0.7923177480697632,0.0078125,0.0078125,token_accuracy,0.7
corrupt_different_operation_matched_strong,7,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.5895182490348816,0.0,0.0,token_accuracy,0.7
