condition,seed,task_name,realized_sample_count
corrupt_same_operation_unrelated_strong,7,A00_copy,2744
corrupt_same_operation_unrelated_strong,7,A01_reverse,3021
corrupt_same_operation_unrelated_strong,7,A02_substitute,4765
corrupt_same_operation_unrelated_strong,7,A03_copy,70282
corrupt_same_operation_unrelated_strong,7,A04_reverse,3323
corrupt_same_operation_unrelated_strong,7,A05_substitute,2355
corrupt_same_operation_unrelated_strong,7,A06_copy,33904
corrupt_same_operation_unrelated_strong,7,A07_reverse,3596
corrupt_same_operation_unrelated_strong,7,C00_reverse_then_substitute_06_04,12818
corrupt_same_operation_unrelated_strong,7,C01_substitute_then_reverse_03_04,6935
corrupt_same_operation_unrelated_strong,7,C02_copy_then_substitute_00_07,2636
corrupt_same_operation_unrelated_strong,7,C03_reverse_then_substitute_06_01,16469
corrupt_same_operation_unrelated_strong,7,C04_substitute_then_reverse_07_01,2620
corrupt_same_operation_unrelated_strong,7,C05_copy_then_substitute_06_07,2834
corrupt_same_operation_unrelated_strong,7,C06_reverse_then_substitute_02_00,10741
corrupt_same_operation_unrelated_strong,7,C07_substitute_then_reverse_04_03,21962
corrupt_same_operation_unrelated_strong,7,K00_shortcut_for_A00_copy,4160
corrupt_same_operation_unrelated_strong,7,K01_shortcut_for_A07_reverse,4352
corrupt_same_operation_unrelated_strong,7,K02_shortcut_for_A04_reverse,8898
corrupt_same_operation_unrelated_strong,7,S00_surface_rotate,5141
corrupt_same_operation_unrelated_strong,7,S01_surface_rotate,7838
corrupt_same_operation_unrelated_strong,7,S02_surface_rotate,3859
corrupt_same_operation_unrelated_strong,7,U00_unrelated_substitute,5499
corrupt_same_operation_unrelated_strong,7,U01_unrelated_substitute,6144
corrupt_same_operation_unrelated_strong,7,U02_unrelated_substitute,3216
