condition,seed,task_name,realized_sample_count
delay_component_strong,8,A00_copy,2798
delay_component_strong,8,A01_reverse,2965
delay_component_strong,8,A02_substitute,1875
delay_component_strong,8,A03_copy,70601
delay_component_strong,8,A04_reverse,3444
delay_component_strong,8,A05_substitute,2356
delay_component_strong,8,A06_copy,34650
delay_component_strong,8,A07_reverse,3549
delay_component_strong,8,C00_reverse_then_substitute_06_04,12973
delay_component_strong,8,C01_substitute_then_reverse_03_04,7089
delay_component_strong,8,C02_copy_then_substitute_00_07,2641
delay_component_strong,8,C03_reverse_then_substitute_06_01,16593
delay_component_strong,8,C04_substitute_then_reverse_07_01,2485
delay_component_strong,8,C05_copy_then_substitute_06_07,3017
delay_component_strong,8,C06_reverse_then_substitute_02_00,10908
delay_component_strong,8,C07_substitute_then_reverse_04_03,22341
delay_component_strong,8,K00_shortcut_for_A00_copy,4025
delay_component_strong,8,K01_shortcut_for_A07_reverse,4612
delay_component_strong,8,K02_shortcut_for_A04_reverse,9069
delay_component_strong,8,S00_surface_rotate,5149
delay_component_strong,8,S01_surface_rotate,7977
delay_component_strong,8,S02_surface_rotate,3832
delay_component_strong,8,U00_unrelated_substitute,5629
delay_component_strong,8,U01_unrelated_substitute,6310
delay_component_strong,8,U02_unrelated_substitute,3224
