condition,seed,task_name,realized_sample_count
delay_different_operation_matched_strong,4,A00_copy,2803
delay_different_operation_matched_strong,4,A01_reverse,2917
delay_different_operation_matched_strong,4,A02_substitute,4892
delay_different_operation_matched_strong,4,A03_copy,70539
delay_different_operation_matched_strong,4,A04_reverse,3363
delay_different_operation_matched_strong,4,A05_substitute,2320
delay_different_operation_matched_strong,4,A06_copy,33819
delay_different_operation_matched_strong,4,A07_reverse,1435
delay_different_operation_matched_strong,4,C00_reverse_then_substitute_06_04,13129
delay_different_operation_matched_strong,4,C01_substitute_then_reverse_03_04,7125
delay_different_operation_matched_strong,4,C02_copy_then_substitute_00_07,2613
delay_different_operation_matched_strong,4,C03_reverse_then_substitute_06_01,16644
delay_different_operation_matched_strong,4,C04_substitute_then_reverse_07_01,2563
delay_different_operation_matched_strong,4,C05_copy_then_substitute_06_07,2758
delay_different_operation_matched_strong,4,C06_reverse_then_substitute_02_00,10685
delay_different_operation_matched_strong,4,C07_substitute_then_reverse_04_03,22502
delay_different_operation_matched_strong,4,K00_shortcut_for_A00_copy,4187
delay_different_operation_matched_strong,4,K01_shortcut_for_A07_reverse,4460
delay_different_operation_matched_strong,4,K02_shortcut_for_A04_reverse,9020
delay_different_operation_matched_strong,4,S00_surface_rotate,5092
delay_different_operation_matched_strong,4,S01_surface_rotate,8142
delay_different_operation_matched_strong,4,S02_surface_rotate,3759
delay_different_operation_matched_strong,4,U00_unrelated_substitute,5699
delay_different_operation_matched_strong,4,U01_unrelated_substitute,6413
delay_different_operation_matched_strong,4,U02_unrelated_substitute,3233
