condition,seed,data_seen,task_name,kind,loss,token_accuracy,exact_match,balanced_accuracy,accuracy,checkpoint_fraction
delay_different_operation_matched_strong,2,250112,K01_shortcut_for_A07_reverse,shortcut,0.1440955698490142,0.9720052480697632,0.837890625,0.837890625,0.837890625,1.000448
delay_different_operation_matched_strong,2,250112,K02_shortcut_for_A04_reverse,shortcut,0.1432291716337204,0.9755859375,0.857421875,0.857421875,0.857421875,1.000448
delay_different_operation_matched_strong,2,250112,U00_unrelated_substitute,unrelated,2.087772846221924,0.26171875,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,2,250112,S01_surface_rotate,surface_control,1.914621353149414,0.462890625,0.001953125,0.001953125,0.001953125,1.000448
delay_different_operation_matched_strong,2,250112,S02_surface_rotate,surface_control,4.15030574798584,0.1624349057674408,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,2,250112,C07_substitute_then_reverse_04_03,composite,0.3549335896968841,0.8352864980697632,0.109375,0.109375,0.109375,1.000448
delay_different_operation_matched_strong,2,250112,S00_surface_rotate,surface_control,2.397665739059448,0.2698567807674408,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,2,250112,C06_reverse_then_substitute_02_00,composite,0.8894262313842773,0.7158203125,0.001953125,0.001953125,0.001953125,1.000448
delay_different_operation_matched_strong,2,250112,C02_copy_then_substitute_00_07,composite,0.3541163206100464,0.8388671875,0.1171875,0.1171875,0.1171875,1.000448
delay_different_operation_matched_strong,2,250112,C04_substitute_then_reverse_07_01,composite,0.1518449187278747,0.9651693105697632,0.802734375,0.802734375,0.802734375,1.000448
delay_different_operation_matched_strong,2,250112,C03_reverse_then_substitute_06_01,composite,0.3396626710891723,0.8411458730697632,0.13671875,0.13671875,0.13671875,1.000448
delay_different_operation_matched_strong,2,250112,C01_substitute_then_reverse_03_04,composite,0.3459098041057586,0.837890625,0.123046875,0.123046875,0.123046875,1.000448
delay_different_operation_matched_strong,2,250112,C00_reverse_then_substitute_06_04,composite,0.3450361490249634,0.8427734375,0.146484375,0.146484375,0.146484375,1.000448
delay_different_operation_matched_strong,2,250112,A07_reverse,atomic,0.3509211242198944,0.8388671875,0.115234375,0.115234375,0.115234375,1.000448
delay_different_operation_matched_strong,2,250112,A06_copy,atomic,0.1484760344028473,0.9697265625,0.82421875,0.82421875,0.82421875,1.000448
delay_different_operation_matched_strong,2,250112,A05_substitute,atomic,0.9035019874572754,0.7112630605697632,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,2,250112,A04_reverse,atomic,0.352930337190628,0.8382161855697632,0.134765625,0.134765625,0.134765625,1.000448
delay_different_operation_matched_strong,2,250112,A03_copy,atomic,0.1526530236005783,0.9632161855697632,0.787109375,0.787109375,0.787109375,1.000448
delay_different_operation_matched_strong,2,250112,A02_substitute,atomic,0.8883278369903564,0.7194010615348816,0.001953125,0.001953125,0.001953125,1.000448
delay_different_operation_matched_strong,2,250112,A01_reverse,atomic,0.3538341522216797,0.8362630605697632,0.123046875,0.123046875,0.123046875,1.000448
delay_different_operation_matched_strong,2,250112,A00_copy,atomic,0.1453039497137069,0.974609375,0.853515625,0.853515625,0.853515625,1.000448
delay_different_operation_matched_strong,2,250112,C05_copy_then_substitute_06_07,composite,0.3365068733692169,0.8411458730697632,0.125,0.125,0.125,1.000448
delay_different_operation_matched_strong,2,250112,K00_shortcut_for_A00_copy,shortcut,0.146392747759819,0.9661458730697632,0.802734375,0.802734375,0.802734375,1.000448
corrupt_component_strong,2,250112,U02_unrelated_substitute,unrelated,2.491159439086914,0.1585286557674408,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,1,250112,U01_unrelated_substitute,unrelated,0.9917349219322203,0.6845703125,0.00390625,0.00390625,0.00390625,1.000448
pretrain_different_operation_matched,0,250112,S00_surface_rotate,surface_control,1.9948731660842896,0.44140625,0.0,0.0,0.0,1.000448
