condition,seed,task_name,realized_sample_count
delay_different_operation_matched_strong,2,A00_copy,2702
delay_different_operation_matched_strong,2,A01_reverse,3142
delay_different_operation_matched_strong,2,A02_substitute,4739
delay_different_operation_matched_strong,2,A03_copy,70608
delay_different_operation_matched_strong,2,A04_reverse,3348
delay_different_operation_matched_strong,2,A05_substitute,2411
delay_different_operation_matched_strong,2,A06_copy,34097
delay_different_operation_matched_strong,2,A07_reverse,1462
delay_different_operation_matched_strong,2,C00_reverse_then_substitute_06_04,13041
delay_different_operation_matched_strong,2,C01_substitute_then_reverse_03_04,7000
delay_different_operation_matched_strong,2,C02_copy_then_substitute_00_07,2647
delay_different_operation_matched_strong,2,C03_reverse_then_substitute_06_01,16339
delay_different_operation_matched_strong,2,C04_substitute_then_reverse_07_01,2500
delay_different_operation_matched_strong,2,C05_copy_then_substitute_06_07,2903
delay_different_operation_matched_strong,2,C06_reverse_then_substitute_02_00,10842
delay_different_operation_matched_strong,2,C07_substitute_then_reverse_04_03,22282
delay_different_operation_matched_strong,2,K00_shortcut_for_A00_copy,4185
delay_different_operation_matched_strong,2,K01_shortcut_for_A07_reverse,4495
delay_different_operation_matched_strong,2,K02_shortcut_for_A04_reverse,9131
delay_different_operation_matched_strong,2,S00_surface_rotate,5273
delay_different_operation_matched_strong,2,S01_surface_rotate,8012
delay_different_operation_matched_strong,2,S02_surface_rotate,3852
delay_different_operation_matched_strong,2,U00_unrelated_substitute,5749
delay_different_operation_matched_strong,2,U01_unrelated_substitute,6197
delay_different_operation_matched_strong,2,U02_unrelated_substitute,3155
