condition,seed,task_name,realized_sample_count
delay_same_operation_unrelated_strong,0,A00_copy,2800
delay_same_operation_unrelated_strong,0,A01_reverse,3084
delay_same_operation_unrelated_strong,0,A02_substitute,4886
delay_same_operation_unrelated_strong,0,A03_copy,70923
delay_same_operation_unrelated_strong,0,A04_reverse,3379
delay_same_operation_unrelated_strong,0,A05_substitute,2417
delay_same_operation_unrelated_strong,0,A06_copy,34137
delay_same_operation_unrelated_strong,0,A07_reverse,3626
delay_same_operation_unrelated_strong,0,C00_reverse_then_substitute_06_04,13105
delay_same_operation_unrelated_strong,0,C01_substitute_then_reverse_03_04,6986
delay_same_operation_unrelated_strong,0,C02_copy_then_substitute_00_07,2640
delay_same_operation_unrelated_strong,0,C03_reverse_then_substitute_06_01,16774
delay_same_operation_unrelated_strong,0,C04_substitute_then_reverse_07_01,2569
delay_same_operation_unrelated_strong,0,C05_copy_then_substitute_06_07,2917
delay_same_operation_unrelated_strong,0,C06_reverse_then_substitute_02_00,10805
delay_same_operation_unrelated_strong,0,C07_substitute_then_reverse_04_03,22552
delay_same_operation_unrelated_strong,0,K00_shortcut_for_A00_copy,4095
delay_same_operation_unrelated_strong,0,K01_shortcut_for_A07_reverse,4406
delay_same_operation_unrelated_strong,0,K02_shortcut_for_A04_reverse,9248
delay_same_operation_unrelated_strong,0,S00_surface_rotate,5179
delay_same_operation_unrelated_strong,0,S01_surface_rotate,8012
delay_same_operation_unrelated_strong,0,S02_surface_rotate,3853
delay_same_operation_unrelated_strong,0,U00_unrelated_substitute,2276
delay_same_operation_unrelated_strong,0,U01_unrelated_substitute,6225
delay_same_operation_unrelated_strong,0,U02_unrelated_substitute,3218
