condition,seed,task_name,realized_sample_count
corrupt_component_strong,3,A00_copy,2814
corrupt_component_strong,3,A01_reverse,2947
corrupt_component_strong,3,A02_substitute,4723
corrupt_component_strong,3,A03_copy,70023
corrupt_component_strong,3,A04_reverse,3340
corrupt_component_strong,3,A05_substitute,2375
corrupt_component_strong,3,A06_copy,33875
corrupt_component_strong,3,A07_reverse,3588
corrupt_component_strong,3,C00_reverse_then_substitute_06_04,12966
corrupt_component_strong,3,C01_substitute_then_reverse_03_04,7065
corrupt_component_strong,3,C02_copy_then_substitute_00_07,2633
corrupt_component_strong,3,C03_reverse_then_substitute_06_01,16212
corrupt_component_strong,3,C04_substitute_then_reverse_07_01,2497
corrupt_component_strong,3,C05_copy_then_substitute_06_07,2820
corrupt_component_strong,3,C06_reverse_then_substitute_02_00,10649
corrupt_component_strong,3,C07_substitute_then_reverse_04_03,22188
corrupt_component_strong,3,K00_shortcut_for_A00_copy,4080
corrupt_component_strong,3,K01_shortcut_for_A07_reverse,4246
corrupt_component_strong,3,K02_shortcut_for_A04_reverse,9241
corrupt_component_strong,3,S00_surface_rotate,5239
corrupt_component_strong,3,S01_surface_rotate,7846
corrupt_component_strong,3,S02_surface_rotate,3720
corrupt_component_strong,3,U00_unrelated_substitute,5656
corrupt_component_strong,3,U01_unrelated_substitute,6226
corrupt_component_strong,3,U02_unrelated_substitute,3143
