condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
corrupt_component_strong,7,A00_copy,atomic,14336.0,0.7,2,token_accuracy,0.9684244990348816,0.814453125,0.814453125,token_accuracy,0.7
corrupt_component_strong,7,A01_reverse,atomic,71424.0,0.7,2,token_accuracy,0.8199869990348816,0.10546875,0.10546875,token_accuracy,0.7
corrupt_component_strong,7,A02_substitute,atomic,189184.0,0.7,2,token_accuracy,0.8004557490348816,0.017578125,0.017578125,token_accuracy,0.7
corrupt_component_strong,7,A03_copy,atomic,14336.0,0.7,2,token_accuracy,0.9720052480697632,0.833984375,0.833984375,token_accuracy,0.7
corrupt_component_strong,7,A04_reverse,atomic,76544.0,0.7,2,token_accuracy,0.8190104365348816,0.111328125,0.111328125,token_accuracy,0.7
corrupt_component_strong,7,A05_substitute,atomic,189184.0,0.7,2,token_accuracy,0.791015625,0.01171875,0.01171875,token_accuracy,0.7
corrupt_component_strong,7,A06_copy,atomic,14336.0,0.7,2,token_accuracy,0.9723307490348816,0.83984375,0.83984375,token_accuracy,0.7
corrupt_component_strong,7,A07_reverse,atomic,76544.0,0.7,2,token_accuracy,0.8199869990348816,0.103515625,0.103515625,token_accuracy,0.7
corrupt_component_strong,7,C00_reverse_then_substitute_06_04,composite,76544.0,0.7,2,token_accuracy,0.8251953125,0.109375,0.109375,token_accuracy,0.7
corrupt_component_strong,7,C01_substitute_then_reverse_03_04,composite,71424.0,0.7,2,token_accuracy,0.8089193105697632,0.08203125,0.08203125,token_accuracy,0.7
corrupt_component_strong,7,C02_copy_then_substitute_00_07,composite,76544.0,0.7,2,token_accuracy,0.8216146230697632,0.1015625,0.1015625,token_accuracy,0.7
corrupt_component_strong,7,C03_reverse_then_substitute_06_01,composite,76544.0,0.7,2,token_accuracy,0.8186849355697632,0.083984375,0.083984375,token_accuracy,0.7
corrupt_component_strong,7,C04_substitute_then_reverse_07_01,composite,14336.0,0.7,2,token_accuracy,0.9768880605697632,0.861328125,0.861328125,token_accuracy,0.7
corrupt_component_strong,7,C05_copy_then_substitute_06_07,composite,76544.0,0.7,2,token_accuracy,0.8147786855697632,0.0859375,0.0859375,token_accuracy,0.7
corrupt_component_strong,7,C06_reverse_then_substitute_02_00,composite,176384.0,0.7,2,token_accuracy,0.796875,0.01171875,0.01171875,token_accuracy,0.7
corrupt_component_strong,7,C07_substitute_then_reverse_04_03,composite,76544.0,0.7,2,token_accuracy,0.8196614980697632,0.10546875,0.10546875,token_accuracy,0.7
corrupt_component_strong,7,K00_shortcut_for_A00_copy,shortcut,14336.0,0.7,2,token_accuracy,0.9703776240348816,0.82421875,0.82421875,token_accuracy,0.7
corrupt_component_strong,7,K01_shortcut_for_A07_reverse,shortcut,14336.0,0.7,2,token_accuracy,0.9729818105697632,0.84375,0.84375,token_accuracy,0.7
corrupt_component_strong,7,K02_shortcut_for_A04_reverse,shortcut,14336.0,0.7,2,token_accuracy,0.9739583730697632,0.845703125,0.845703125,token_accuracy,0.7
corrupt_component_strong,7,S00_surface_rotate,surface_control,,0.7,2,token_accuracy,0.46484375,0.0,0.0,token_accuracy,0.7
corrupt_component_strong,7,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.6546224355697632,0.001953125,0.001953125,token_accuracy,0.7
corrupt_component_strong,7,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.57421875,0.0,0.0,token_accuracy,0.7
corrupt_component_strong,7,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.583984375,0.0,0.0,token_accuracy,0.7
corrupt_component_strong,7,U01_unrelated_substitute,unrelated,189184.0,0.7,2,token_accuracy,0.7942708730697632,0.013671875,0.013671875,token_accuracy,0.7
corrupt_component_strong,7,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.5823568105697632,0.0,0.0,token_accuracy,0.7
