condition,seed,task_name,realized_sample_count
corrupt_same_operation_unrelated_strong,1,A00_copy,2743
corrupt_same_operation_unrelated_strong,1,A01_reverse,2901
corrupt_same_operation_unrelated_strong,1,A02_substitute,4770
corrupt_same_operation_unrelated_strong,1,A03_copy,69582
corrupt_same_operation_unrelated_strong,1,A04_reverse,3436
corrupt_same_operation_unrelated_strong,1,A05_substitute,2469
corrupt_same_operation_unrelated_strong,1,A06_copy,33909
corrupt_same_operation_unrelated_strong,1,A07_reverse,3511
corrupt_same_operation_unrelated_strong,1,C00_reverse_then_substitute_06_04,12958
corrupt_same_operation_unrelated_strong,1,C01_substitute_then_reverse_03_04,6973
corrupt_same_operation_unrelated_strong,1,C02_copy_then_substitute_00_07,2668
corrupt_same_operation_unrelated_strong,1,C03_reverse_then_substitute_06_01,16384
corrupt_same_operation_unrelated_strong,1,C04_substitute_then_reverse_07_01,2489
corrupt_same_operation_unrelated_strong,1,C05_copy_then_substitute_06_07,2981
corrupt_same_operation_unrelated_strong,1,C06_reverse_then_substitute_02_00,10838
corrupt_same_operation_unrelated_strong,1,C07_substitute_then_reverse_04_03,21920
corrupt_same_operation_unrelated_strong,1,K00_shortcut_for_A00_copy,4036
corrupt_same_operation_unrelated_strong,1,K01_shortcut_for_A07_reverse,4283
corrupt_same_operation_unrelated_strong,1,K02_shortcut_for_A04_reverse,9212
corrupt_same_operation_unrelated_strong,1,S00_surface_rotate,5093
corrupt_same_operation_unrelated_strong,1,S01_surface_rotate,7999
corrupt_same_operation_unrelated_strong,1,S02_surface_rotate,3780
corrupt_same_operation_unrelated_strong,1,U00_unrelated_substitute,5621
corrupt_same_operation_unrelated_strong,1,U01_unrelated_substitute,6316
corrupt_same_operation_unrelated_strong,1,U02_unrelated_substitute,3240
