condition,seed,task_name,realized_sample_count
delay_same_operation_unrelated_strong,7,A00_copy,2741
delay_same_operation_unrelated_strong,7,A01_reverse,2999
delay_same_operation_unrelated_strong,7,A02_substitute,4694
delay_same_operation_unrelated_strong,7,A03_copy,70499
delay_same_operation_unrelated_strong,7,A04_reverse,3333
delay_same_operation_unrelated_strong,7,A05_substitute,2415
delay_same_operation_unrelated_strong,7,A06_copy,34028
delay_same_operation_unrelated_strong,7,A07_reverse,1446
delay_same_operation_unrelated_strong,7,C00_reverse_then_substitute_06_04,13068
delay_same_operation_unrelated_strong,7,C01_substitute_then_reverse_03_04,7120
delay_same_operation_unrelated_strong,7,C02_copy_then_substitute_00_07,2620
delay_same_operation_unrelated_strong,7,C03_reverse_then_substitute_06_01,16548
delay_same_operation_unrelated_strong,7,C04_substitute_then_reverse_07_01,2656
delay_same_operation_unrelated_strong,7,C05_copy_then_substitute_06_07,2962
delay_same_operation_unrelated_strong,7,C06_reverse_then_substitute_02_00,10888
delay_same_operation_unrelated_strong,7,C07_substitute_then_reverse_04_03,22404
delay_same_operation_unrelated_strong,7,K00_shortcut_for_A00_copy,4249
delay_same_operation_unrelated_strong,7,K01_shortcut_for_A07_reverse,4421
delay_same_operation_unrelated_strong,7,K02_shortcut_for_A04_reverse,8978
delay_same_operation_unrelated_strong,7,S00_surface_rotate,5214
delay_same_operation_unrelated_strong,7,S01_surface_rotate,7927
delay_same_operation_unrelated_strong,7,S02_surface_rotate,3835
delay_same_operation_unrelated_strong,7,U00_unrelated_substitute,5666
delay_same_operation_unrelated_strong,7,U01_unrelated_substitute,6208
delay_same_operation_unrelated_strong,7,U02_unrelated_substitute,3193
