condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
pretrain_different_operation_matched,9,A00_copy,atomic,11008.0,0.7,2,token_accuracy,0.9534505605697632,0.732421875,0.732421875,token_accuracy,0.7
pretrain_different_operation_matched,9,A01_reverse,atomic,94208.0,0.7,2,token_accuracy,0.8450521230697632,0.1640625,0.1640625,token_accuracy,0.7
pretrain_different_operation_matched,9,A02_substitute,atomic,,0.7,2,token_accuracy,0.6988932490348816,0.001953125,0.001953125,token_accuracy,0.7
pretrain_different_operation_matched,9,A03_copy,atomic,11008.0,0.7,2,token_accuracy,0.9508463740348816,0.71875,0.71875,token_accuracy,0.7
pretrain_different_operation_matched,9,A04_reverse,atomic,94208.0,0.7,2,token_accuracy,0.8577474355697632,0.2265625,0.2265625,token_accuracy,0.7
pretrain_different_operation_matched,9,A05_substitute,atomic,,0.7,2,token_accuracy,0.6982421875,0.0,0.0,token_accuracy,0.7
pretrain_different_operation_matched,9,A06_copy,atomic,11008.0,0.7,2,token_accuracy,0.9619140625,0.78125,0.78125,token_accuracy,0.7
pretrain_different_operation_matched,9,A07_reverse,atomic,94208.0,0.7,2,token_accuracy,0.857421875,0.21875,0.21875,token_accuracy,0.7
pretrain_different_operation_matched,9,C00_reverse_then_substitute_06_04,composite,94208.0,0.7,2,token_accuracy,0.8528646230697632,0.1953125,0.1953125,token_accuracy,0.7
pretrain_different_operation_matched,9,C01_substitute_then_reverse_03_04,composite,94208.0,0.7,2,token_accuracy,0.8528646230697632,0.212890625,0.212890625,token_accuracy,0.7
pretrain_different_operation_matched,9,C02_copy_then_substitute_00_07,composite,94208.0,0.7,2,token_accuracy,0.8512369990348816,0.193359375,0.193359375,token_accuracy,0.7
pretrain_different_operation_matched,9,C03_reverse_then_substitute_06_01,composite,94208.0,0.7,2,token_accuracy,0.857421875,0.212890625,0.212890625,token_accuracy,0.7
pretrain_different_operation_matched,9,C04_substitute_then_reverse_07_01,composite,11008.0,0.7,2,token_accuracy,0.9580078125,0.763671875,0.763671875,token_accuracy,0.7
pretrain_different_operation_matched,9,C05_copy_then_substitute_06_07,composite,94208.0,0.7,2,token_accuracy,0.8639323115348816,0.24609375,0.24609375,token_accuracy,0.7
pretrain_different_operation_matched,9,C06_reverse_then_substitute_02_00,composite,,0.7,2,token_accuracy,0.6878255605697632,0.0,0.0,token_accuracy,0.7
pretrain_different_operation_matched,9,C07_substitute_then_reverse_04_03,composite,94208.0,0.7,2,token_accuracy,0.8649088740348816,0.2578125,0.2578125,token_accuracy,0.7
pretrain_different_operation_matched,9,K00_shortcut_for_A00_copy,shortcut,11008.0,0.7,2,token_accuracy,0.9541015625,0.732421875,0.732421875,token_accuracy,0.7
pretrain_different_operation_matched,9,K01_shortcut_for_A07_reverse,shortcut,11008.0,0.7,2,token_accuracy,0.9518229365348816,0.728515625,0.728515625,token_accuracy,0.7
pretrain_different_operation_matched,9,K02_shortcut_for_A04_reverse,shortcut,11008.0,0.7,2,token_accuracy,0.9596354365348816,0.76171875,0.76171875,token_accuracy,0.7
pretrain_different_operation_matched,9,S00_surface_rotate,surface_control,,0.7,2,token_accuracy,0.5035807490348816,0.0,0.0,token_accuracy,0.7
pretrain_different_operation_matched,9,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.6901041865348816,0.0,0.0,token_accuracy,0.7
pretrain_different_operation_matched,9,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.7076823115348816,0.0,0.0,token_accuracy,0.7
pretrain_different_operation_matched,9,U00_unrelated_substitute,unrelated,0.0,0.7,2,token_accuracy,0.0966796875,0.0,0.0,token_accuracy,0.7
pretrain_different_operation_matched,9,U01_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.69140625,0.001953125,0.001953125,token_accuracy,0.7
pretrain_different_operation_matched,9,U02_unrelated_substitute,unrelated,0.0,0.7,2,token_accuracy,0.0924479216337204,0.0,0.0,token_accuracy,0.7
