condition,seed,data_seen,task_name,kind,loss,token_accuracy,exact_match,balanced_accuracy,accuracy,checkpoint_fraction
delay_different_operation_matched_strong,9,250112,K01_shortcut_for_A07_reverse,shortcut,0.1895295828580856,0.9563802480697632,0.75390625,0.75390625,0.75390625,1.000448
delay_different_operation_matched_strong,9,250112,K02_shortcut_for_A04_reverse,shortcut,0.1874008327722549,0.9544271230697632,0.7421875,0.7421875,0.7421875,1.000448
delay_different_operation_matched_strong,9,250112,S00_surface_rotate,surface_control,2.4683425426483154,0.2861328125,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,9,250112,S01_surface_rotate,surface_control,2.2918105125427246,0.3876953125,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,9,250112,S02_surface_rotate,surface_control,3.673651933670044,0.2412109375,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,9,250112,U00_unrelated_substitute,unrelated,2.894028902053833,0.0703125,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,9,250112,U01_unrelated_substitute,unrelated,1.1340140104293823,0.6136068105697632,0.001953125,0.001953125,0.001953125,1.000448
delay_different_operation_matched_strong,9,250112,U02_unrelated_substitute,unrelated,2.912691831588745,0.0631510466337204,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,9,250112,C01_substitute_then_reverse_03_04,composite,0.3536578416824341,0.837890625,0.181640625,0.181640625,0.181640625,1.000448
delay_different_operation_matched_strong,9,250112,C02_copy_then_substitute_00_07,composite,0.3497263193130493,0.8414713740348816,0.203125,0.203125,0.203125,1.000448
delay_different_operation_matched_strong,9,250112,C03_reverse_then_substitute_06_01,composite,0.3555298149585724,0.8430989980697632,0.21875,0.21875,0.21875,1.000448
delay_different_operation_matched_strong,9,250112,C04_substitute_then_reverse_07_01,composite,0.1871394366025924,0.9596354365348816,0.765625,0.765625,0.765625,1.000448
delay_different_operation_matched_strong,9,250112,C05_copy_then_substitute_06_07,composite,0.3516749441623688,0.8382161855697632,0.189453125,0.189453125,0.189453125,1.000448
delay_different_operation_matched_strong,9,250112,C06_reverse_then_substitute_02_00,composite,1.140117645263672,0.6090494990348816,0.00390625,0.00390625,0.00390625,1.000448
delay_different_operation_matched_strong,9,250112,C07_substitute_then_reverse_04_03,composite,0.3678493499755859,0.8349609375,0.1875,0.1875,0.1875,1.000448
delay_different_operation_matched_strong,9,250112,K00_shortcut_for_A00_copy,shortcut,0.1842969805002212,0.9557291865348816,0.748046875,0.748046875,0.748046875,1.000448
delay_different_operation_matched_strong,9,250112,A01_reverse,atomic,0.3576911389827728,0.837890625,0.173828125,0.173828125,0.173828125,1.000448
delay_different_operation_matched_strong,9,250112,A02_substitute,atomic,1.1245534420013428,0.6197916865348816,0.005859375,0.005859375,0.005859375,1.000448
delay_different_operation_matched_strong,9,250112,A03_copy,atomic,0.1866226941347122,0.9557291865348816,0.75,0.75,0.75,1.000448
delay_different_operation_matched_strong,9,250112,A04_reverse,atomic,0.3725663125514984,0.8294271230697632,0.185546875,0.185546875,0.185546875,1.000448
delay_different_operation_matched_strong,9,250112,A05_substitute,atomic,1.1161848306655884,0.6227213740348816,0.00390625,0.00390625,0.00390625,1.000448
delay_different_operation_matched_strong,9,250112,A06_copy,atomic,0.1894543617963791,0.9498698115348816,0.712890625,0.712890625,0.712890625,1.000448
delay_different_operation_matched_strong,9,250112,A07_reverse,atomic,0.3546927273273468,0.8369140625,0.169921875,0.169921875,0.169921875,1.000448
delay_different_operation_matched_strong,9,250112,C00_reverse_then_substitute_06_04,composite,0.3568356037139892,0.8352864980697632,0.171875,0.171875,0.171875,1.000448
delay_different_operation_matched_strong,9,250112,A00_copy,atomic,0.1858287006616592,0.95703125,0.74609375,0.74609375,0.74609375,1.000448
delay_different_operation_matched_strong,8,250112,U00_unrelated_substitute,unrelated,1.5528393983840942,0.5026041865348816,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,8,250112,U01_unrelated_substitute,unrelated,0.6216893792152405,0.7926432490348816,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,8,250112,U02_unrelated_substitute,unrelated,1.550822615623474,0.498046875,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,8,250112,C06_reverse_then_substitute_02_00,composite,0.605596125125885,0.7978515625,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,8,250112,C07_substitute_then_reverse_04_03,composite,0.3342908918857574,0.8470052480697632,0.21875,0.21875,0.21875,1.000448
delay_different_operation_matched_strong,8,250112,K00_shortcut_for_A00_copy,shortcut,0.1425624936819076,0.9632161855697632,0.78515625,0.78515625,0.78515625,1.000448
delay_different_operation_matched_strong,8,250112,K01_shortcut_for_A07_reverse,shortcut,0.1480218917131424,0.9567057490348816,0.744140625,0.744140625,0.744140625,1.000448
delay_different_operation_matched_strong,8,250112,K02_shortcut_for_A04_reverse,shortcut,0.1405893415212631,0.9609375,0.767578125,0.767578125,0.767578125,1.000448
delay_different_operation_matched_strong,8,250112,S00_surface_rotate,surface_control,1.9680315256118772,0.4638671875,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,8,250112,S01_surface_rotate,surface_control,1.2853312492370603,0.7099609375,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,8,250112,S02_surface_rotate,surface_control,2.055811643600464,0.5257161855697632,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,8,250112,A06_copy,atomic,0.139232337474823,0.9658203125,0.802734375,0.802734375,0.802734375,1.000448
delay_different_operation_matched_strong,8,250112,A07_reverse,atomic,0.3220923244953155,0.84765625,0.1875,0.1875,0.1875,1.000448
delay_different_operation_matched_strong,8,250112,C00_reverse_then_substitute_06_04,composite,0.3113769292831421,0.8580729365348816,0.21875,0.21875,0.21875,1.000448
delay_different_operation_matched_strong,8,250112,C01_substitute_then_reverse_03_04,composite,0.3253465294837951,0.8460286855697632,0.169921875,0.169921875,0.169921875,1.000448
delay_different_operation_matched_strong,8,250112,C02_copy_then_substitute_00_07,composite,0.3115168213844299,0.8528646230697632,0.23046875,0.23046875,0.23046875,1.000448
delay_different_operation_matched_strong,8,250112,C03_reverse_then_substitute_06_01,composite,0.3115240633487701,0.8447265625,0.166015625,0.166015625,0.166015625,1.000448
delay_different_operation_matched_strong,8,250112,C04_substitute_then_reverse_07_01,composite,0.144321784377098,0.9609375,0.76953125,0.76953125,0.76953125,1.000448
delay_different_operation_matched_strong,8,250112,C05_copy_then_substitute_06_07,composite,0.3115054666996002,0.8522135615348816,0.2109375,0.2109375,0.2109375,1.000448
delay_different_operation_matched_strong,8,250112,A00_copy,atomic,0.1476628929376602,0.9537760615348816,0.728515625,0.728515625,0.728515625,1.000448
delay_different_operation_matched_strong,8,250112,A01_reverse,atomic,0.3124271929264068,0.853515625,0.2109375,0.2109375,0.2109375,1.000448
delay_different_operation_matched_strong,8,250112,A02_substitute,atomic,0.6269975304603577,0.7897135615348816,0.001953125,0.001953125,0.001953125,1.000448
delay_different_operation_matched_strong,8,250112,A03_copy,atomic,0.1368802338838577,0.9651693105697632,0.79296875,0.79296875,0.79296875,1.000448
delay_different_operation_matched_strong,8,250112,A04_reverse,atomic,0.3195997178554535,0.8489583730697632,0.1953125,0.1953125,0.1953125,1.000448
delay_different_operation_matched_strong,8,250112,A05_substitute,atomic,0.6035244464874268,0.7985026240348816,0.005859375,0.005859375,0.005859375,1.000448
delay_different_operation_matched_strong,7,250112,S00_surface_rotate,surface_control,2.016306638717652,0.48828125,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,7,250112,S01_surface_rotate,surface_control,1.3807741403579712,0.6595052480697632,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,7,250112,S02_surface_rotate,surface_control,1.8138823509216309,0.5911458730697632,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,7,250112,U00_unrelated_substitute,unrelated,1.258516550064087,0.6634114980697632,0.001953125,0.001953125,0.001953125,1.000448
delay_different_operation_matched_strong,7,250112,U01_unrelated_substitute,unrelated,0.6357021927833557,0.7825521230697632,0.0078125,0.0078125,0.0078125,1.000448
delay_different_operation_matched_strong,7,250112,U02_unrelated_substitute,unrelated,1.2467018365859983,0.6653646230697632,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,7,250112,C03_reverse_then_substitute_06_01,composite,0.3326551020145416,0.8404948115348816,0.150390625,0.150390625,0.150390625,1.000448
delay_different_operation_matched_strong,7,250112,C04_substitute_then_reverse_07_01,composite,0.1390585303306579,0.9606119990348816,0.77734375,0.77734375,0.77734375,1.000448
delay_different_operation_matched_strong,7,250112,C05_copy_then_substitute_06_07,composite,0.337610125541687,0.84765625,0.19140625,0.19140625,0.19140625,1.000448
delay_different_operation_matched_strong,7,250112,C06_reverse_then_substitute_02_00,composite,0.6193086504936218,0.7828776240348816,0.00390625,0.00390625,0.00390625,1.000448
delay_different_operation_matched_strong,7,250112,C07_substitute_then_reverse_04_03,composite,0.3311986923217773,0.841796875,0.1640625,0.1640625,0.1640625,1.000448
delay_different_operation_matched_strong,7,250112,K00_shortcut_for_A00_copy,shortcut,0.1356048583984375,0.9664713740348816,0.802734375,0.802734375,0.802734375,1.000448
delay_different_operation_matched_strong,7,250112,K01_shortcut_for_A07_reverse,shortcut,0.1374913603067398,0.9615885615348816,0.7734375,0.7734375,0.7734375,1.000448
delay_different_operation_matched_strong,7,250112,K02_shortcut_for_A04_reverse,shortcut,0.1512136608362198,0.9557291865348816,0.75,0.75,0.75,1.000448
delay_different_operation_matched_strong,7,250112,A03_copy,atomic,0.132607564330101,0.9609375,0.767578125,0.767578125,0.767578125,1.000448
delay_different_operation_matched_strong,7,250112,A04_reverse,atomic,0.3410365283489227,0.8375651240348816,0.14453125,0.14453125,0.14453125,1.000448
delay_different_operation_matched_strong,7,250112,A05_substitute,atomic,0.6309860348701477,0.7779948115348816,0.005859375,0.005859375,0.005859375,1.000448
delay_different_operation_matched_strong,7,250112,A06_copy,atomic,0.1411557495594024,0.9580078125,0.759765625,0.759765625,0.759765625,1.000448
delay_different_operation_matched_strong,7,250112,A07_reverse,atomic,0.3369683027267456,0.8427734375,0.16796875,0.16796875,0.16796875,1.000448
delay_different_operation_matched_strong,7,250112,C00_reverse_then_substitute_06_04,composite,0.3331463634967804,0.8421224355697632,0.158203125,0.158203125,0.158203125,1.000448
delay_different_operation_matched_strong,7,250112,C01_substitute_then_reverse_03_04,composite,0.3318910300731659,0.8460286855697632,0.166015625,0.166015625,0.166015625,1.000448
delay_different_operation_matched_strong,7,250112,C02_copy_then_substitute_00_07,composite,0.3486685752868652,0.8395182490348816,0.16015625,0.16015625,0.16015625,1.000448
delay_different_operation_matched_strong,7,250112,A00_copy,atomic,0.1409181505441665,0.9622396230697632,0.783203125,0.783203125,0.783203125,1.000448
delay_different_operation_matched_strong,7,250112,A01_reverse,atomic,0.3453779220581054,0.8421224355697632,0.16015625,0.16015625,0.16015625,1.000448
delay_different_operation_matched_strong,7,250112,A02_substitute,atomic,0.6162256598472595,0.7828776240348816,0.009765625,0.009765625,0.009765625,1.000448
delay_different_operation_matched_strong,6,250112,U02_unrelated_substitute,unrelated,2.348923921585083,0.1110026091337204,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,6,250112,K00_shortcut_for_A00_copy,shortcut,0.1436576694250106,0.9641927480697632,0.794921875,0.794921875,0.794921875,1.000448
delay_different_operation_matched_strong,6,250112,K01_shortcut_for_A07_reverse,shortcut,0.1386788636445999,0.9654948115348816,0.794921875,0.794921875,0.794921875,1.000448
delay_different_operation_matched_strong,6,250112,K02_shortcut_for_A04_reverse,shortcut,0.1392485350370407,0.9697265625,0.822265625,0.822265625,0.822265625,1.000448
delay_different_operation_matched_strong,6,250112,S00_surface_rotate,surface_control,1.9696205854415891,0.4150390625,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,6,250112,S01_surface_rotate,surface_control,1.2229712009429932,0.7197265625,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,6,250112,S02_surface_rotate,surface_control,2.1326472759246826,0.5240885615348816,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,6,250112,U00_unrelated_substitute,unrelated,2.384511232376098,0.1044921875,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,6,250112,U01_unrelated_substitute,unrelated,0.9254760146141052,0.7203776240348816,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,6,250112,C00_reverse_then_substitute_06_04,composite,0.3010898232460022,0.8492838740348816,0.16796875,0.16796875,0.16796875,1.000448
delay_different_operation_matched_strong,6,250112,C01_substitute_then_reverse_03_04,composite,0.3002049624919891,0.8479818105697632,0.1484375,0.1484375,0.1484375,1.000448
delay_different_operation_matched_strong,6,250112,C02_copy_then_substitute_00_07,composite,0.2926388084888458,0.853515625,0.177734375,0.177734375,0.177734375,1.000448
delay_different_operation_matched_strong,6,250112,C03_reverse_then_substitute_06_01,composite,0.2851077020168304,0.85546875,0.17578125,0.17578125,0.17578125,1.000448
delay_different_operation_matched_strong,6,250112,C04_substitute_then_reverse_07_01,composite,0.1373432874679565,0.9661458730697632,0.806640625,0.806640625,0.806640625,1.000448
delay_different_operation_matched_strong,6,250112,C05_copy_then_substitute_06_07,composite,0.2962664067745209,0.8502604365348816,0.169921875,0.169921875,0.169921875,1.000448
delay_different_operation_matched_strong,6,250112,C06_reverse_then_substitute_02_00,composite,0.8902917504310608,0.7366536855697632,0.001953125,0.001953125,0.001953125,1.000448
delay_different_operation_matched_strong,6,250112,C07_substitute_then_reverse_04_03,composite,0.3129586577415466,0.8424479365348816,0.13671875,0.13671875,0.13671875,1.000448
delay_different_operation_matched_strong,6,250112,A00_copy,atomic,0.1374336928129196,0.9658203125,0.802734375,0.802734375,0.802734375,1.000448
delay_different_operation_matched_strong,6,250112,A01_reverse,atomic,0.3071541488170624,0.8502604365348816,0.193359375,0.193359375,0.193359375,1.000448
delay_different_operation_matched_strong,6,250112,A02_substitute,atomic,0.9184763431549072,0.716796875,0.0,0.0,0.0,1.000448
delay_different_operation_matched_strong,6,250112,A03_copy,atomic,0.1352182477712631,0.9658203125,0.8046875,0.8046875,0.8046875,1.000448
delay_different_operation_matched_strong,6,250112,A04_reverse,atomic,0.2912510335445404,0.8479818105697632,0.13671875,0.13671875,0.13671875,1.000448
delay_different_operation_matched_strong,6,250112,A05_substitute,atomic,0.9353220462799072,0.7203776240348816,0.0,0.0,0.0,1.000448
