condition,seed,task_name,realized_sample_count
corrupt_component_strong,9,A00_copy,2752
corrupt_component_strong,9,A01_reverse,3057
corrupt_component_strong,9,A02_substitute,4662
corrupt_component_strong,9,A03_copy,70000
corrupt_component_strong,9,A04_reverse,3402
corrupt_component_strong,9,A05_substitute,2406
corrupt_component_strong,9,A06_copy,33683
corrupt_component_strong,9,A07_reverse,3559
corrupt_component_strong,9,C00_reverse_then_substitute_06_04,12884
corrupt_component_strong,9,C01_substitute_then_reverse_03_04,6985
corrupt_component_strong,9,C02_copy_then_substitute_00_07,2609
corrupt_component_strong,9,C03_reverse_then_substitute_06_01,16329
corrupt_component_strong,9,C04_substitute_then_reverse_07_01,2507
corrupt_component_strong,9,C05_copy_then_substitute_06_07,2839
corrupt_component_strong,9,C06_reverse_then_substitute_02_00,10774
corrupt_component_strong,9,C07_substitute_then_reverse_04_03,21987
corrupt_component_strong,9,K00_shortcut_for_A00_copy,4029
corrupt_component_strong,9,K01_shortcut_for_A07_reverse,4492
corrupt_component_strong,9,K02_shortcut_for_A04_reverse,9102
corrupt_component_strong,9,S00_surface_rotate,5166
corrupt_component_strong,9,S01_surface_rotate,7870
corrupt_component_strong,9,S02_surface_rotate,3843
corrupt_component_strong,9,U00_unrelated_substitute,5632
corrupt_component_strong,9,U01_unrelated_substitute,6379
corrupt_component_strong,9,U02_unrelated_substitute,3164
