condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
corrupt_different_operation_matched_strong,2,A00_copy,atomic,14336.0,0.7,2,token_accuracy,0.939453125,0.650390625,0.650390625,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,A01_reverse,atomic,61952.0,0.7,2,token_accuracy,0.8626302480697632,0.279296875,0.279296875,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,A02_substitute,atomic,,0.7,2,token_accuracy,0.6910807490348816,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,A03_copy,atomic,14336.0,0.7,2,token_accuracy,0.9381510615348816,0.646484375,0.646484375,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,A04_reverse,atomic,57856.0,0.7,2,token_accuracy,0.87109375,0.31640625,0.31640625,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,A05_substitute,atomic,,0.7,2,token_accuracy,0.671875,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,A06_copy,atomic,14336.0,0.7,2,token_accuracy,0.9423828125,0.662109375,0.662109375,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,A07_reverse,atomic,61952.0,0.7,2,token_accuracy,0.8792318105697632,0.353515625,0.353515625,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,C00_reverse_then_substitute_06_04,composite,57856.0,0.7,2,token_accuracy,0.8671875,0.30078125,0.30078125,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,C01_substitute_then_reverse_03_04,composite,57856.0,0.7,2,token_accuracy,0.8642578125,0.255859375,0.255859375,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,C02_copy_then_substitute_00_07,composite,57856.0,0.7,2,token_accuracy,0.8658854365348816,0.271484375,0.271484375,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,C03_reverse_then_substitute_06_01,composite,57856.0,0.7,2,token_accuracy,0.8704427480697632,0.30859375,0.30859375,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,C04_substitute_then_reverse_07_01,composite,14336.0,0.7,2,token_accuracy,0.9443359375,0.671875,0.671875,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,C05_copy_then_substitute_06_07,composite,57856.0,0.7,2,token_accuracy,0.8671875,0.291015625,0.291015625,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,C06_reverse_then_substitute_02_00,composite,,0.7,2,token_accuracy,0.6800130605697632,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,C07_substitute_then_reverse_04_03,composite,57856.0,0.7,2,token_accuracy,0.8701171875,0.318359375,0.318359375,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,K00_shortcut_for_A00_copy,shortcut,14336.0,0.7,2,token_accuracy,0.9388021230697632,0.642578125,0.642578125,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,K01_shortcut_for_A07_reverse,shortcut,14336.0,0.7,2,token_accuracy,0.943359375,0.66796875,0.66796875,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,K02_shortcut_for_A04_reverse,shortcut,14336.0,0.7,2,token_accuracy,0.9391276240348816,0.654296875,0.654296875,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,S00_surface_rotate,surface_control,,0.7,2,token_accuracy,0.3707682490348816,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.470703125,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.2272135466337204,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.1813151091337204,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,U01_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.6907552480697632,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,2,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.1708984375,0.0,0.0,token_accuracy,0.7
