condition,seed,task_name,realized_sample_count
corrupt_different_operation_matched_strong,8,A00_copy,2697
corrupt_different_operation_matched_strong,8,A01_reverse,3023
corrupt_different_operation_matched_strong,8,A02_substitute,4606
corrupt_different_operation_matched_strong,8,A03_copy,70103
corrupt_different_operation_matched_strong,8,A04_reverse,3290
corrupt_different_operation_matched_strong,8,A05_substitute,2349
corrupt_different_operation_matched_strong,8,A06_copy,33855
corrupt_different_operation_matched_strong,8,A07_reverse,3568
corrupt_different_operation_matched_strong,8,C00_reverse_then_substitute_06_04,12928
corrupt_different_operation_matched_strong,8,C01_substitute_then_reverse_03_04,7155
corrupt_different_operation_matched_strong,8,C02_copy_then_substitute_00_07,2612
corrupt_different_operation_matched_strong,8,C03_reverse_then_substitute_06_01,16282
corrupt_different_operation_matched_strong,8,C04_substitute_then_reverse_07_01,2574
corrupt_different_operation_matched_strong,8,C05_copy_then_substitute_06_07,2983
corrupt_different_operation_matched_strong,8,C06_reverse_then_substitute_02_00,10698
corrupt_different_operation_matched_strong,8,C07_substitute_then_reverse_04_03,21948
corrupt_different_operation_matched_strong,8,K00_shortcut_for_A00_copy,4017
corrupt_different_operation_matched_strong,8,K01_shortcut_for_A07_reverse,4483
corrupt_different_operation_matched_strong,8,K02_shortcut_for_A04_reverse,9104
corrupt_different_operation_matched_strong,8,S00_surface_rotate,5077
corrupt_different_operation_matched_strong,8,S01_surface_rotate,8061
corrupt_different_operation_matched_strong,8,S02_surface_rotate,3773
corrupt_different_operation_matched_strong,8,U00_unrelated_substitute,5642
corrupt_different_operation_matched_strong,8,U01_unrelated_substitute,6076
corrupt_different_operation_matched_strong,8,U02_unrelated_substitute,3208
