condition,seed,task_name,realized_sample_count
corrupt_same_operation_unrelated_strong,4,A00_copy,2778
corrupt_same_operation_unrelated_strong,4,A01_reverse,2997
corrupt_same_operation_unrelated_strong,4,A02_substitute,4700
corrupt_same_operation_unrelated_strong,4,A03_copy,69976
corrupt_same_operation_unrelated_strong,4,A04_reverse,3391
corrupt_same_operation_unrelated_strong,4,A05_substitute,2375
corrupt_same_operation_unrelated_strong,4,A06_copy,33726
corrupt_same_operation_unrelated_strong,4,A07_reverse,3512
corrupt_same_operation_unrelated_strong,4,C00_reverse_then_substitute_06_04,13088
corrupt_same_operation_unrelated_strong,4,C01_substitute_then_reverse_03_04,6990
corrupt_same_operation_unrelated_strong,4,C02_copy_then_substitute_00_07,2548
corrupt_same_operation_unrelated_strong,4,C03_reverse_then_substitute_06_01,16314
corrupt_same_operation_unrelated_strong,4,C04_substitute_then_reverse_07_01,2471
corrupt_same_operation_unrelated_strong,4,C05_copy_then_substitute_06_07,2821
corrupt_same_operation_unrelated_strong,4,C06_reverse_then_substitute_02_00,10696
corrupt_same_operation_unrelated_strong,4,C07_substitute_then_reverse_04_03,21967
corrupt_same_operation_unrelated_strong,4,K00_shortcut_for_A00_copy,4098
corrupt_same_operation_unrelated_strong,4,K01_shortcut_for_A07_reverse,4381
corrupt_same_operation_unrelated_strong,4,K02_shortcut_for_A04_reverse,9077
corrupt_same_operation_unrelated_strong,4,S00_surface_rotate,5202
corrupt_same_operation_unrelated_strong,4,S01_surface_rotate,8003
corrupt_same_operation_unrelated_strong,4,S02_surface_rotate,3799
corrupt_same_operation_unrelated_strong,4,U00_unrelated_substitute,5735
corrupt_same_operation_unrelated_strong,4,U01_unrelated_substitute,6276
corrupt_same_operation_unrelated_strong,4,U02_unrelated_substitute,3191
