condition,seed,task_name,realized_sample_count
delay_component_strong,6,A00_copy,3416
delay_component_strong,6,A01_reverse,3766
delay_component_strong,6,A02_substitute,5885
delay_component_strong,6,A03_copy,28083
delay_component_strong,6,A04_reverse,4177
delay_component_strong,6,A05_substitute,3052
delay_component_strong,6,A06_copy,41738
delay_component_strong,6,A07_reverse,4291
delay_component_strong,6,C00_reverse_then_substitute_06_04,15858
delay_component_strong,6,C01_substitute_then_reverse_03_04,8481
delay_component_strong,6,C02_copy_then_substitute_00_07,3181
delay_component_strong,6,C03_reverse_then_substitute_06_01,20214
delay_component_strong,6,C04_substitute_then_reverse_07_01,3119
delay_component_strong,6,C05_copy_then_substitute_06_07,3496
delay_component_strong,6,C06_reverse_then_substitute_02_00,13104
delay_component_strong,6,C07_substitute_then_reverse_04_03,27398
delay_component_strong,6,K00_shortcut_for_A00_copy,4949
delay_component_strong,6,K01_shortcut_for_A07_reverse,5437
delay_component_strong,6,K02_shortcut_for_A04_reverse,11329
delay_component_strong,6,S00_surface_rotate,6432
delay_component_strong,6,S01_surface_rotate,9638
delay_component_strong,6,S02_surface_rotate,4653
delay_component_strong,6,U00_unrelated_substitute,6888
delay_component_strong,6,U01_unrelated_substitute,7663
delay_component_strong,6,U02_unrelated_substitute,3864
