condition,seed,task_name,realized_sample_count
delay_different_operation_matched_strong,0,A00_copy,2801
delay_different_operation_matched_strong,0,A01_reverse,3091
delay_different_operation_matched_strong,0,A02_substitute,4893
delay_different_operation_matched_strong,0,A03_copy,71033
delay_different_operation_matched_strong,0,A04_reverse,3387
delay_different_operation_matched_strong,0,A05_substitute,2392
delay_different_operation_matched_strong,0,A06_copy,34223
delay_different_operation_matched_strong,0,A07_reverse,3619
delay_different_operation_matched_strong,0,C00_reverse_then_substitute_06_04,13136
delay_different_operation_matched_strong,0,C01_substitute_then_reverse_03_04,6965
delay_different_operation_matched_strong,0,C02_copy_then_substitute_00_07,2678
delay_different_operation_matched_strong,0,C03_reverse_then_substitute_06_01,16781
delay_different_operation_matched_strong,0,C04_substitute_then_reverse_07_01,2568
delay_different_operation_matched_strong,0,C05_copy_then_substitute_06_07,2934
delay_different_operation_matched_strong,0,C06_reverse_then_substitute_02_00,10823
delay_different_operation_matched_strong,0,C07_substitute_then_reverse_04_03,22590
delay_different_operation_matched_strong,0,K00_shortcut_for_A00_copy,4093
delay_different_operation_matched_strong,0,K01_shortcut_for_A07_reverse,4374
delay_different_operation_matched_strong,0,K02_shortcut_for_A04_reverse,9261
delay_different_operation_matched_strong,0,S00_surface_rotate,5219
delay_different_operation_matched_strong,0,S01_surface_rotate,7993
delay_different_operation_matched_strong,0,S02_surface_rotate,3882
delay_different_operation_matched_strong,0,U00_unrelated_substitute,5639
delay_different_operation_matched_strong,0,U01_unrelated_substitute,2513
delay_different_operation_matched_strong,0,U02_unrelated_substitute,3224
