condition,seed,task_name,realized_sample_count
delay_same_operation_unrelated_strong,2,A00_copy,2954
delay_same_operation_unrelated_strong,2,A01_reverse,3411
delay_same_operation_unrelated_strong,2,A02_substitute,5127
delay_same_operation_unrelated_strong,2,A03_copy,76579
delay_same_operation_unrelated_strong,2,A04_reverse,3702
delay_same_operation_unrelated_strong,2,A05_substitute,2520
delay_same_operation_unrelated_strong,2,A06_copy,13618
delay_same_operation_unrelated_strong,2,A07_reverse,3869
delay_same_operation_unrelated_strong,2,C00_reverse_then_substitute_06_04,14036
delay_same_operation_unrelated_strong,2,C01_substitute_then_reverse_03_04,7656
delay_same_operation_unrelated_strong,2,C02_copy_then_substitute_00_07,2862
delay_same_operation_unrelated_strong,2,C03_reverse_then_substitute_06_01,17751
delay_same_operation_unrelated_strong,2,C04_substitute_then_reverse_07_01,2704
delay_same_operation_unrelated_strong,2,C05_copy_then_substitute_06_07,3159
delay_same_operation_unrelated_strong,2,C06_reverse_then_substitute_02_00,11723
delay_same_operation_unrelated_strong,2,C07_substitute_then_reverse_04_03,24252
delay_same_operation_unrelated_strong,2,K00_shortcut_for_A00_copy,4512
delay_same_operation_unrelated_strong,2,K01_shortcut_for_A07_reverse,4786
delay_same_operation_unrelated_strong,2,K02_shortcut_for_A04_reverse,9993
delay_same_operation_unrelated_strong,2,S00_surface_rotate,5589
delay_same_operation_unrelated_strong,2,S01_surface_rotate,8759
delay_same_operation_unrelated_strong,2,S02_surface_rotate,4135
delay_same_operation_unrelated_strong,2,U00_unrelated_substitute,6283
delay_same_operation_unrelated_strong,2,U01_unrelated_substitute,6722
delay_same_operation_unrelated_strong,2,U02_unrelated_substitute,3410
