condition,seed,task_name,realized_sample_count
pretrain_component,9,A00_copy,2716
pretrain_component,9,A01_reverse,3092
pretrain_component,9,A02_substitute,4746
pretrain_component,9,A03_copy,70418
pretrain_component,9,A04_reverse,3389
pretrain_component,9,A05_substitute,2368
pretrain_component,9,A06_copy,33818
pretrain_component,9,A07_reverse,3626
pretrain_component,9,C00_reverse_then_substitute_06_04,12929
pretrain_component,9,C01_substitute_then_reverse_03_04,6916
pretrain_component,9,C02_copy_then_substitute_00_07,2539
pretrain_component,9,C03_reverse_then_substitute_06_01,16346
pretrain_component,9,C04_substitute_then_reverse_07_01,2483
pretrain_component,9,C05_copy_then_substitute_06_07,2749
pretrain_component,9,C06_reverse_then_substitute_02_00,10673
pretrain_component,9,C07_substitute_then_reverse_04_03,21857
pretrain_component,9,K00_shortcut_for_A00_copy,4063
pretrain_component,9,K01_shortcut_for_A07_reverse,4500
pretrain_component,9,K02_shortcut_for_A04_reverse,9081
pretrain_component,9,S00_surface_rotate,5127
pretrain_component,9,S01_surface_rotate,7818
pretrain_component,9,S02_surface_rotate,3810
pretrain_component,9,U00_unrelated_substitute,5461
pretrain_component,9,U01_unrelated_substitute,6332
pretrain_component,9,U02_unrelated_substitute,3255
