expected_direction,n_paired_seeds,exact_acquisition_rate,control_acquisition_rate,raw_censored_delta_acquired_at_mean,signed_censored_time_effect_mean,signed_censored_time_effect_ci_low,signed_censored_time_effect_ci_high,time_expected_direction_rate,time_sign_pvalue,signed_final_effect_mean,final_expected_direction_rate,exact_final_metric_mean,control_final_metric_mean,result_dir,pair_id,component,composite,manipulation,control_type,exact_condition,control_condition,time_sign_qvalue_bh
earlier,10,1.0,1.0,6272.0,-6272.0,-14208.0,1435.5199999999895,0.2,0.453125,-0.0046549558639526365,0.2,0.7841145992279053,0.7887695550918579,results/b1_v2_causal_census_full/row000_A07_reverse__to__C03_reverse_then_substitute_07_02,A07_reverse__to__C03_reverse_then_substitute_07_02,A07_reverse,C03_reverse_then_substitute_07_02,upweight,same_operation,upweight_component,upweight_same_operation_unrelated,1.0
earlier,10,1.0,1.0,-10214.4,10214.4,535.0400000000002,20892.159999999985,0.5,0.453125,0.007877600193023682,0.7,0.7841145992279053,0.7762369990348816,results/b1_v2_causal_census_full/row000_A07_reverse__to__C03_reverse_then_substitute_07_02,A07_reverse__to__C03_reverse_then_substitute_07_02,A07_reverse,C03_reverse_then_substitute_07_02,upweight,different_operation,upweight_component,upweight_different_operation_matched,1.0
earlier,10,1.0,1.0,307.2,-307.2,-9856.64,11649.91999999999,0.2,0.6875,0.002278637886047363,0.6,0.7841145992279053,0.781835961341858,results/b1_v2_causal_census_full/row000_A07_reverse__to__C03_reverse_then_substitute_07_02,A07_reverse__to__C03_reverse_then_substitute_07_02,A07_reverse,C03_reverse_then_substitute_07_02,upweight,fake_component,upweight_component,upweight_fake_component,1.0
earlier,10,1.0,1.0,17382.4,-17382.4,-29646.079999999998,-6142.720000000007,0.1,0.0703125,-0.002604174613952637,0.6,0.7841145992279053,0.786718773841858,results/b1_v2_causal_census_full/row000_A07_reverse__to__C03_reverse_then_substitute_07_02,A07_reverse__to__C03_reverse_then_substitute_07_02,A07_reverse,C03_reverse_then_substitute_07_02,upweight,surface,upweight_component,upweight_surface_control,0.9522058823529411
earlier,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7869791984558105,0.7869791984558105,results/b1_v2_causal_census_full/row000_A07_reverse__to__C03_reverse_then_substitute_07_02,A07_reverse__to__C03_reverse_then_substitute_07_02,A07_reverse,C03_reverse_then_substitute_07_02,pretrain,same_operation,pretrain_component,pretrain_same_operation_unrelated,1.0
earlier,10,1.0,0.5,-44492.8,44492.8,27185.920000000002,63310.079999999994,0.9,0.00390625,0.11295574307441711,1.0,0.7869791984558105,0.6740234553813934,results/b1_v2_causal_census_full/row000_A07_reverse__to__C03_reverse_then_substitute_07_02,A07_reverse__to__C03_reverse_then_substitute_07_02,A07_reverse,C03_reverse_then_substitute_07_02,pretrain,different_operation,pretrain_component,pretrain_different_operation_matched,0.109375
later,10,1.0,1.0,256.0,256.0,-11699.84,12083.2,0.4,1.0,0.0037109375,0.7,0.7846679925918579,0.7883789300918579,results/b1_v2_causal_census_full/row000_A07_reverse__to__C03_reverse_then_substitute_07_02,A07_reverse__to__C03_reverse_then_substitute_07_02,A07_reverse,C03_reverse_then_substitute_07_02,delay,same_operation,delay_component,delay_same_operation_unrelated,1.0
later,10,1.0,1.0,-5196.8,-5196.8,-20352.64,10191.359999999986,0.3,0.5078125,0.00166015625,0.6,0.7846679925918579,0.7863281488418579,results/b1_v2_causal_census_full/row000_A07_reverse__to__C03_reverse_then_substitute_07_02,A07_reverse__to__C03_reverse_then_substitute_07_02,A07_reverse,C03_reverse_then_substitute_07_02,delay,different_operation,delay_component,delay_different_operation_matched,1.0
later,10,1.0,1.0,-460.8,-460.8,-11750.4,11724.8,0.3,1.0,-0.0005208432674407959,0.5,0.7881185114383698,0.7875976681709289,results/b1_v2_causal_census_full/row000_A07_reverse__to__C03_reverse_then_substitute_07_02,A07_reverse__to__C03_reverse_then_substitute_07_02,A07_reverse,C03_reverse_then_substitute_07_02,delay_strong,same_operation,delay_component_strong,delay_same_operation_unrelated_strong,1.0
later,10,1.0,1.0,-5760.0,-5760.0,-20531.84,9449.599999999982,0.2,0.453125,-0.0012369871139526368,0.6,0.7881185114383698,0.7868815243244172,results/b1_v2_causal_census_full/row000_A07_reverse__to__C03_reverse_then_substitute_07_02,A07_reverse__to__C03_reverse_then_substitute_07_02,A07_reverse,C03_reverse_then_substitute_07_02,delay_strong,different_operation,delay_component_strong,delay_different_operation_matched_strong,1.0
