condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
corrupt_different_operation_matched_strong,0,A00_copy,atomic,15360.0,0.7,2,token_accuracy,0.9453125,0.681640625,0.681640625,token_accuracy,0.7
corrupt_different_operation_matched_strong,0,A01_reverse,atomic,61952.0,0.7,2,token_accuracy,0.8567708730697632,0.18359375,0.18359375,token_accuracy,0.7
corrupt_different_operation_matched_strong,0,A02_substitute,atomic,,0.7,2,token_accuracy,0.6731771230697632,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,0,A03_copy,atomic,15360.0,0.7,2,token_accuracy,0.9410807490348816,0.669921875,0.669921875,token_accuracy,0.7
corrupt_different_operation_matched_strong,0,A04_reverse,atomic,61952.0,0.7,2,token_accuracy,0.8509114980697632,0.17578125,0.17578125,token_accuracy,0.7
corrupt_different_operation_matched_strong,0,A05_substitute,atomic,,0.7,2,token_accuracy,0.6748046875,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,0,A06_copy,atomic,15360.0,0.7,2,token_accuracy,0.9446614980697632,0.6953125,0.6953125,token_accuracy,0.7
corrupt_different_operation_matched_strong,0,A07_reverse,atomic,61952.0,0.7,2,token_accuracy,0.8590494990348816,0.224609375,0.224609375,token_accuracy,0.7
corrupt_different_operation_matched_strong,0,C00_reverse_then_substitute_04_03,composite,61952.0,0.7,2,token_accuracy,0.8570963740348816,0.205078125,0.205078125,token_accuracy,0.7
corrupt_different_operation_matched_strong,0,C01_substitute_then_reverse_04_06,composite,61952.0,0.7,2,token_accuracy,0.8531901240348816,0.20703125,0.20703125,token_accuracy,0.7
corrupt_different_operation_matched_strong,0,C02_copy_then_substitute_06_04,composite,61952.0,0.7,2,token_accuracy,0.8639323115348816,0.234375,0.234375,token_accuracy,0.7
corrupt_different_operation_matched_strong,0,C03_reverse_then_substitute_07_02,composite,143104.0,0.7,2,token_accuracy,0.8102213740348816,0.037109375,0.037109375,token_accuracy,0.7
corrupt_different_operation_matched_strong,0,C04_substitute_then_reverse_03_06,composite,15360.0,0.7,2,token_accuracy,0.9384765625,0.650390625,0.650390625,token_accuracy,0.7
corrupt_different_operation_matched_strong,0,C05_copy_then_substitute_06_07,composite,61952.0,0.7,2,token_accuracy,0.8580729365348816,0.2109375,0.2109375,token_accuracy,0.7
corrupt_different_operation_matched_strong,0,C06_reverse_then_substitute_05_07,composite,143104.0,0.7,2,token_accuracy,0.8098958730697632,0.044921875,0.044921875,token_accuracy,0.7
corrupt_different_operation_matched_strong,0,C07_substitute_then_reverse_01_04,composite,15360.0,0.7,2,token_accuracy,0.943359375,0.66796875,0.66796875,token_accuracy,0.7
corrupt_different_operation_matched_strong,0,K00_shortcut_for_A02_substitute,shortcut,15360.0,0.7,2,token_accuracy,0.9404296875,0.65625,0.65625,token_accuracy,0.7
corrupt_different_operation_matched_strong,0,K01_shortcut_for_A05_substitute,shortcut,15360.0,0.7,2,token_accuracy,0.9420573115348816,0.67578125,0.67578125,token_accuracy,0.7
corrupt_different_operation_matched_strong,0,K02_shortcut_for_A03_copy,shortcut,15360.0,0.7,2,token_accuracy,0.9397786855697632,0.650390625,0.650390625,token_accuracy,0.7
corrupt_different_operation_matched_strong,0,S00_surface_rotate,surface_control,189184.0,0.7,2,token_accuracy,0.8043619990348816,0.01953125,0.01953125,token_accuracy,0.7
corrupt_different_operation_matched_strong,0,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.1100260466337204,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,0,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.2330729216337204,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,0,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0279947929084301,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,0,U01_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0270182304084301,0.0,0.0,token_accuracy,0.7
corrupt_different_operation_matched_strong,0,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.021484375,0.0,0.0,token_accuracy,0.7
