condition,seed,task_name,realized_sample_count
corrupt_same_operation_unrelated_strong,5,A00_copy,2952
corrupt_same_operation_unrelated_strong,5,A01_reverse,7907
corrupt_same_operation_unrelated_strong,5,A02_substitute,2376
corrupt_same_operation_unrelated_strong,5,A03_copy,2600
corrupt_same_operation_unrelated_strong,5,A04_reverse,3208
corrupt_same_operation_unrelated_strong,5,A05_substitute,4788
corrupt_same_operation_unrelated_strong,5,A06_copy,70208
corrupt_same_operation_unrelated_strong,5,A07_reverse,16375
corrupt_same_operation_unrelated_strong,5,C00_reverse_then_substitute_04_03,4152
corrupt_same_operation_unrelated_strong,5,C01_substitute_then_reverse_04_06,8935
corrupt_same_operation_unrelated_strong,5,C02_copy_then_substitute_06_04,5660
corrupt_same_operation_unrelated_strong,5,C03_reverse_then_substitute_07_02,5150
corrupt_same_operation_unrelated_strong,5,C04_substitute_then_reverse_03_06,12855
corrupt_same_operation_unrelated_strong,5,C05_copy_then_substitute_06_07,10616
corrupt_same_operation_unrelated_strong,5,C06_reverse_then_substitute_05_07,33797
corrupt_same_operation_unrelated_strong,5,C07_substitute_then_reverse_01_04,6182
corrupt_same_operation_unrelated_strong,5,K00_shortcut_for_A02_substitute,4283
corrupt_same_operation_unrelated_strong,5,K01_shortcut_for_A05_substitute,3835
corrupt_same_operation_unrelated_strong,5,K02_shortcut_for_A03_copy,7035
corrupt_same_operation_unrelated_strong,5,S00_surface_rotate,22111
corrupt_same_operation_unrelated_strong,5,S01_surface_rotate,3383
corrupt_same_operation_unrelated_strong,5,S02_surface_rotate,3475
corrupt_same_operation_unrelated_strong,5,U00_unrelated_substitute,2411
corrupt_same_operation_unrelated_strong,5,U01_unrelated_substitute,3088
corrupt_same_operation_unrelated_strong,5,U02_unrelated_substitute,2730
