condition,seed,task_name,realized_sample_count
delay_component_strong,2,A00_copy,2940
delay_component_strong,2,A01_reverse,8283
delay_component_strong,2,A02_substitute,2520
delay_component_strong,2,A03_copy,2732
delay_component_strong,2,A04_reverse,3263
delay_component_strong,2,A05_substitute,4947
delay_component_strong,2,A06_copy,72861
delay_component_strong,2,A07_reverse,6520
delay_component_strong,2,C00_reverse_then_substitute_04_03,4239
delay_component_strong,2,C01_substitute_then_reverse_04_06,9504
delay_component_strong,2,C02_copy_then_substitute_06_04,5802
delay_component_strong,2,C03_reverse_then_substitute_07_02,5437
delay_component_strong,2,C04_substitute_then_reverse_03_06,13448
delay_component_strong,2,C05_copy_then_substitute_06_07,11073
delay_component_strong,2,C06_reverse_then_substitute_05_07,35283
delay_component_strong,2,C07_substitute_then_reverse_01_04,6519
delay_component_strong,2,K00_shortcut_for_A02_substitute,4516
delay_component_strong,2,K01_shortcut_for_A05_substitute,4068
delay_component_strong,2,K02_shortcut_for_A03_copy,7265
delay_component_strong,2,S00_surface_rotate,23154
delay_component_strong,2,S01_surface_rotate,3528
delay_component_strong,2,S02_surface_rotate,3808
delay_component_strong,2,U00_unrelated_substitute,2530
delay_component_strong,2,U01_unrelated_substitute,3115
delay_component_strong,2,U02_unrelated_substitute,2757
