condition,seed,task_name,realized_sample_count
delay_different_operation_matched_strong,5,A00_copy,2967
delay_different_operation_matched_strong,5,A01_reverse,7943
delay_different_operation_matched_strong,5,A02_substitute,2435
delay_different_operation_matched_strong,5,A03_copy,2646
delay_different_operation_matched_strong,5,A04_reverse,3191
delay_different_operation_matched_strong,5,A05_substitute,4756
delay_different_operation_matched_strong,5,A06_copy,70840
delay_different_operation_matched_strong,5,A07_reverse,16268
delay_different_operation_matched_strong,5,C00_reverse_then_substitute_04_03,4110
delay_different_operation_matched_strong,5,C01_substitute_then_reverse_04_06,8963
delay_different_operation_matched_strong,5,C02_copy_then_substitute_06_04,5676
delay_different_operation_matched_strong,5,C03_reverse_then_substitute_07_02,5128
delay_different_operation_matched_strong,5,C04_substitute_then_reverse_03_06,12937
delay_different_operation_matched_strong,5,C05_copy_then_substitute_06_07,10791
delay_different_operation_matched_strong,5,C06_reverse_then_substitute_05_07,34199
delay_different_operation_matched_strong,5,C07_substitute_then_reverse_01_04,6222
delay_different_operation_matched_strong,5,K00_shortcut_for_A02_substitute,4353
delay_different_operation_matched_strong,5,K01_shortcut_for_A05_substitute,3852
delay_different_operation_matched_strong,5,K02_shortcut_for_A03_copy,7103
delay_different_operation_matched_strong,5,S00_surface_rotate,22395
delay_different_operation_matched_strong,5,S01_surface_rotate,3423
delay_different_operation_matched_strong,5,S02_surface_rotate,3535
delay_different_operation_matched_strong,5,U00_unrelated_substitute,2487
delay_different_operation_matched_strong,5,U01_unrelated_substitute,1247
delay_different_operation_matched_strong,5,U02_unrelated_substitute,2645
