condition,seed,task_name,realized_sample_count
delay_same_operation_unrelated,3,A00_copy,2872
delay_same_operation_unrelated,3,A01_reverse,5208
delay_same_operation_unrelated,3,A02_substitute,2368
delay_same_operation_unrelated,3,A03_copy,2559
delay_same_operation_unrelated,3,A04_reverse,3232
delay_same_operation_unrelated,3,A05_substitute,4914
delay_same_operation_unrelated,3,A06_copy,70894
delay_same_operation_unrelated,3,A07_reverse,16478
delay_same_operation_unrelated,3,C00_reverse_then_substitute_04_03,4047
delay_same_operation_unrelated,3,C01_substitute_then_reverse_04_06,9210
delay_same_operation_unrelated,3,C02_copy_then_substitute_06_04,5815
delay_same_operation_unrelated,3,C03_reverse_then_substitute_07_02,5198
delay_same_operation_unrelated,3,C04_substitute_then_reverse_03_06,12948
delay_same_operation_unrelated,3,C05_copy_then_substitute_06_07,10812
delay_same_operation_unrelated,3,C06_reverse_then_substitute_05_07,34265
delay_same_operation_unrelated,3,C07_substitute_then_reverse_01_04,6425
delay_same_operation_unrelated,3,K00_shortcut_for_A02_substitute,4440
delay_same_operation_unrelated,3,K01_shortcut_for_A05_substitute,3871
delay_same_operation_unrelated,3,K02_shortcut_for_A03_copy,7100
delay_same_operation_unrelated,3,S00_surface_rotate,22104
delay_same_operation_unrelated,3,S01_surface_rotate,3405
delay_same_operation_unrelated,3,S02_surface_rotate,3616
delay_same_operation_unrelated,3,U00_unrelated_substitute,2547
delay_same_operation_unrelated,3,U01_unrelated_substitute,3113
delay_same_operation_unrelated,3,U02_unrelated_substitute,2671
