condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
delay_same_operation_unrelated_strong,3,A00_copy,atomic,15360.0,0.7,2,token_accuracy,0.9388021230697632,0.654296875,0.654296875,token_accuracy,0.7
delay_same_operation_unrelated_strong,3,A01_reverse,atomic,87808.0,0.7,2,token_accuracy,0.8492838740348816,0.205078125,0.205078125,token_accuracy,0.7
delay_same_operation_unrelated_strong,3,A02_substitute,atomic,,0.7,2,token_accuracy,0.556640625,0.0,0.0,token_accuracy,0.7
delay_same_operation_unrelated_strong,3,A03_copy,atomic,15360.0,0.7,2,token_accuracy,0.9410807490348816,0.658203125,0.658203125,token_accuracy,0.7
delay_same_operation_unrelated_strong,3,A04_reverse,atomic,87808.0,0.7,2,token_accuracy,0.8492838740348816,0.212890625,0.212890625,token_accuracy,0.7
delay_same_operation_unrelated_strong,3,A05_substitute,atomic,,0.7,2,token_accuracy,0.5494791865348816,0.0,0.0,token_accuracy,0.7
delay_same_operation_unrelated_strong,3,A06_copy,atomic,14336.0,0.7,2,token_accuracy,0.9342448115348816,0.619140625,0.619140625,token_accuracy,0.7
delay_same_operation_unrelated_strong,3,A07_reverse,atomic,76544.0,0.7,2,token_accuracy,0.8391927480697632,0.19921875,0.19921875,token_accuracy,0.7
delay_same_operation_unrelated_strong,3,C00_reverse_then_substitute_04_03,composite,76544.0,0.7,2,token_accuracy,0.84375,0.1875,0.1875,token_accuracy,0.7
delay_same_operation_unrelated_strong,3,C01_substitute_then_reverse_04_06,composite,87808.0,0.7,2,token_accuracy,0.8404948115348816,0.193359375,0.193359375,token_accuracy,0.7
delay_same_operation_unrelated_strong,3,C02_copy_then_substitute_06_04,composite,76544.0,0.7,2,token_accuracy,0.8450521230697632,0.2109375,0.2109375,token_accuracy,0.7
delay_same_operation_unrelated_strong,3,C03_reverse_then_substitute_07_02,composite,153600.0,0.7,2,token_accuracy,0.7958984375,0.052734375,0.052734375,token_accuracy,0.7
delay_same_operation_unrelated_strong,3,C04_substitute_then_reverse_03_06,composite,15360.0,0.7,2,token_accuracy,0.9407552480697632,0.65625,0.65625,token_accuracy,0.7
delay_same_operation_unrelated_strong,3,C05_copy_then_substitute_06_07,composite,76544.0,0.7,2,token_accuracy,0.8518880605697632,0.236328125,0.236328125,token_accuracy,0.7
delay_same_operation_unrelated_strong,3,C06_reverse_then_substitute_05_07,composite,143104.0,0.7,2,token_accuracy,0.802734375,0.06640625,0.06640625,token_accuracy,0.7
delay_same_operation_unrelated_strong,3,C07_substitute_then_reverse_01_04,composite,14336.0,0.7,2,token_accuracy,0.9371744990348816,0.634765625,0.634765625,token_accuracy,0.7
delay_same_operation_unrelated_strong,3,K00_shortcut_for_A02_substitute,shortcut,15360.0,0.7,2,token_accuracy,0.9339193105697632,0.62109375,0.62109375,token_accuracy,0.7
delay_same_operation_unrelated_strong,3,K01_shortcut_for_A05_substitute,shortcut,15360.0,0.7,2,token_accuracy,0.9352213740348816,0.638671875,0.638671875,token_accuracy,0.7
delay_same_operation_unrelated_strong,3,K02_shortcut_for_A03_copy,shortcut,14336.0,0.7,2,token_accuracy,0.9319661855697632,0.611328125,0.611328125,token_accuracy,0.7
delay_same_operation_unrelated_strong,3,S00_surface_rotate,surface_control,,0.7,2,token_accuracy,0.7288411855697632,0.001953125,0.001953125,token_accuracy,0.7
delay_same_operation_unrelated_strong,3,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.50390625,0.0,0.0,token_accuracy,0.7
delay_same_operation_unrelated_strong,3,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.5579427480697632,0.0,0.0,token_accuracy,0.7
delay_same_operation_unrelated_strong,3,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0732421875,0.0,0.0,token_accuracy,0.7
delay_same_operation_unrelated_strong,3,U01_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0729166716337204,0.0,0.0,token_accuracy,0.7
delay_same_operation_unrelated_strong,3,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0367838554084301,0.0,0.0,token_accuracy,0.7
