condition,seed,task_name,realized_sample_count
upweight_fake_component,5,A00_copy,2859
upweight_fake_component,5,A01_reverse,7675
upweight_fake_component,5,A02_substitute,2366
upweight_fake_component,5,A03_copy,2550
upweight_fake_component,5,A04_reverse,3090
upweight_fake_component,5,A05_substitute,4610
upweight_fake_component,5,A06_copy,68265
upweight_fake_component,5,A07_reverse,15961
upweight_fake_component,5,C00_reverse_then_substitute_04_03,3880
upweight_fake_component,5,C01_substitute_then_reverse_04_06,8696
upweight_fake_component,5,C02_copy_then_substitute_06_04,5404
upweight_fake_component,5,C03_reverse_then_substitute_07_02,4994
upweight_fake_component,5,C04_substitute_then_reverse_03_06,12565
upweight_fake_component,5,C05_copy_then_substitute_06_07,10339
upweight_fake_component,5,C06_reverse_then_substitute_05_07,32792
upweight_fake_component,5,C07_substitute_then_reverse_01_04,6232
upweight_fake_component,5,K00_shortcut_for_A02_substitute,4210
upweight_fake_component,5,K01_shortcut_for_A05_substitute,3732
upweight_fake_component,5,K02_shortcut_for_A03_copy,13621
upweight_fake_component,5,S00_surface_rotate,21653
upweight_fake_component,5,S01_surface_rotate,3272
upweight_fake_component,5,S02_surface_rotate,3433
upweight_fake_component,5,U00_unrelated_substitute,2375
upweight_fake_component,5,U01_unrelated_substitute,2989
upweight_fake_component,5,U02_unrelated_substitute,2549
