condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold
upweight_surface_control,7,A00_copy,atomic,15360.0,0.7,2,token_accuracy,0.9488932490348816,0.7109375,0.7109375,token_accuracy,0.7
upweight_surface_control,7,A01_reverse,atomic,143104.0,0.7,2,token_accuracy,0.7467448115348816,0.02734375,0.02734375,token_accuracy,0.7
upweight_surface_control,7,A02_substitute,atomic,,0.7,2,token_accuracy,0.4514974057674408,0.0,0.0,token_accuracy,0.7
upweight_surface_control,7,A03_copy,atomic,15360.0,0.7,2,token_accuracy,0.95703125,0.755859375,0.755859375,token_accuracy,0.7
upweight_surface_control,7,A04_reverse,atomic,143104.0,0.7,2,token_accuracy,0.759765625,0.0390625,0.0390625,token_accuracy,0.7
upweight_surface_control,7,A05_substitute,atomic,,0.7,2,token_accuracy,0.4586588740348816,0.0,0.0,token_accuracy,0.7
upweight_surface_control,7,A06_copy,atomic,15360.0,0.7,2,token_accuracy,0.9580078125,0.765625,0.765625,token_accuracy,0.7
upweight_surface_control,7,A07_reverse,atomic,143104.0,0.7,2,token_accuracy,0.76171875,0.03125,0.03125,token_accuracy,0.7
upweight_surface_control,7,C00_reverse_then_substitute_04_03,composite,143104.0,0.7,2,token_accuracy,0.7574869990348816,0.033203125,0.033203125,token_accuracy,0.7
upweight_surface_control,7,C01_substitute_then_reverse_04_06,composite,143104.0,0.7,2,token_accuracy,0.765625,0.029296875,0.029296875,token_accuracy,0.7
upweight_surface_control,7,C02_copy_then_substitute_06_04,composite,143104.0,0.7,2,token_accuracy,0.7571614980697632,0.03125,0.03125,token_accuracy,0.7
upweight_surface_control,7,C03_reverse_then_substitute_07_02,composite,164608.0,0.7,2,token_accuracy,0.7952474355697632,0.03515625,0.03515625,token_accuracy,0.7
upweight_surface_control,7,C04_substitute_then_reverse_03_06,composite,16640.0,0.7,2,token_accuracy,0.9541015625,0.7421875,0.7421875,token_accuracy,0.7
upweight_surface_control,7,C05_copy_then_substitute_06_07,composite,143104.0,0.7,2,token_accuracy,0.7574869990348816,0.037109375,0.037109375,token_accuracy,0.7
upweight_surface_control,7,C06_reverse_then_substitute_05_07,composite,153600.0,0.7,2,token_accuracy,0.8014323115348816,0.04296875,0.04296875,token_accuracy,0.7
upweight_surface_control,7,C07_substitute_then_reverse_01_04,composite,15360.0,0.7,2,token_accuracy,0.9580078125,0.755859375,0.755859375,token_accuracy,0.7
upweight_surface_control,7,K00_shortcut_for_A02_substitute,shortcut,15360.0,0.7,2,token_accuracy,0.9479166865348816,0.70703125,0.70703125,token_accuracy,0.7
upweight_surface_control,7,K01_shortcut_for_A05_substitute,shortcut,16640.0,0.7,2,token_accuracy,0.95703125,0.75390625,0.75390625,token_accuracy,0.7
upweight_surface_control,7,K02_shortcut_for_A03_copy,shortcut,15360.0,0.7,2,token_accuracy,0.9495443105697632,0.712890625,0.712890625,token_accuracy,0.7
upweight_surface_control,7,S00_surface_rotate,surface_control,54016.0,0.7,2,token_accuracy,0.7366536855697632,0.03125,0.03125,token_accuracy,0.7
upweight_surface_control,7,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.5227864980697632,0.0,0.0,token_accuracy,0.7
upweight_surface_control,7,S02_surface_rotate,surface_control,,0.7,2,token_accuracy,0.6012369990348816,0.0,0.0,token_accuracy,0.7
upweight_surface_control,7,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0777994841337204,0.0,0.0,token_accuracy,0.7
upweight_surface_control,7,U01_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0771484375,0.0,0.0,token_accuracy,0.7
upweight_surface_control,7,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0406901054084301,0.0,0.0,token_accuracy,0.7
