condition,task_name,role,acquisition_rate,mean_censored_acquired_at,mean_final_metric,mean_censored_expected_direction_rate,mean_final_expected_direction_rate
baseline,A02_substitute,component,0.0,250112.0,0.5283203244209289,0.275,0.40625
baseline,C03_reverse_then_substitute_07_02,composite,1.0,181760.0,0.7850260674953461,0.275,0.40625
baseline,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.0823242213577032,0.275,0.40625
baseline,A03_copy,different_operation_control,1.0,15052.8,0.9484700739383698,0.275,0.40625
baseline,K01_shortcut_for_A05_substitute,fake_component_control,1.0,15052.8,0.9458659052848816,0.275,0.40625
baseline,S01_surface_rotate,surface_control,0.0,250112.0,0.30716146901249886,0.275,0.40625
corrupt_component,A02_substitute,component,0.0,250112.0,0.49329428672790526,0.275,0.40625
corrupt_component,C03_reverse_then_substitute_07_02,composite,0.9,182988.8,0.7882487177848816,0.275,0.40625
corrupt_component,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.08287760615348816,0.275,0.40625
corrupt_component,A03_copy,different_operation_control,1.0,15052.8,0.9518554985523224,0.275,0.40625
corrupt_component,K01_shortcut_for_A05_substitute,fake_component_control,1.0,15052.8,0.9491536676883697,0.275,0.40625
corrupt_component,S01_surface_rotate,surface_control,0.0,250112.0,0.310839855670929,0.275,0.40625
corrupt_component_strong,A02_substitute,component,0.0,250112.0,0.44967449009418486,0.275,0.40625
corrupt_component_strong,C03_reverse_then_substitute_07_02,composite,1.0,178201.6,0.7958008050918579,0.275,0.40625
corrupt_component_strong,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.08079427368938923,0.275,0.40625
corrupt_component_strong,A03_copy,different_operation_control,1.0,15052.8,0.9519856989383697,0.275,0.40625
corrupt_component_strong,K01_shortcut_for_A05_substitute,fake_component_control,1.0,15052.8,0.9505208551883697,0.275,0.40625
corrupt_component_strong,S01_surface_rotate,surface_control,0.0,250112.0,0.2793294325470924,0.275,0.40625
corrupt_different_operation_matched,A02_substitute,component,0.0,250112.0,0.5461588770151138,0.275,0.40625
corrupt_different_operation_matched,C03_reverse_then_substitute_07_02,composite,1.0,172518.4,0.7944010555744171,0.275,0.40625
corrupt_different_operation_matched,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.0729492198675871,0.275,0.40625
corrupt_different_operation_matched,A03_copy,different_operation_control,1.0,15052.8,0.9535482048988342,0.275,0.40625
corrupt_different_operation_matched,K01_shortcut_for_A05_substitute,fake_component_control,1.0,15052.8,0.9528320550918579,0.275,0.40625
corrupt_different_operation_matched,S01_surface_rotate,surface_control,0.0,250112.0,0.2974283926188946,0.275,0.40625
corrupt_different_operation_matched_strong,A02_substitute,component,0.0,250112.0,0.5128906428813934,0.275,0.40625
corrupt_different_operation_matched_strong,C03_reverse_then_substitute_07_02,composite,1.0,180377.6,0.7882812798023224,0.275,0.40625
corrupt_different_operation_matched_strong,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.07802734710276127,0.275,0.40625
corrupt_different_operation_matched_strong,A03_copy,different_operation_control,1.0,15180.8,0.9531575679779053,0.275,0.40625
